player_id,player,team,position,minute,location,dribble_outcome
8150,Francisco Javier Hernández González,Odisha,Center Forward,8,"{30.2,36.7}",Complete
8150,Francisco Javier Hernández González,Odisha,Center Forward,30,"{101.7,42.9}",Incomplete
8150,Francisco Javier Hernández González,Odisha,Center Forward,32,"{54.0,14.7}",Incomplete
8150,Francisco Javier Hernández González,Odisha,Right Center Midfield,60,"{88.6,56.3}",Incomplete
8150,Francisco Javier Hernández González,Odisha,Right Center Midfield,65,"{108.3,23.4}",Incomplete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,20,"{17.0,74.8}",Incomplete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,25,"{92.5,62.7}",Incomplete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,42,"{96.2,35.1}",Complete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,45,"{105.8,65.1}",Incomplete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,79,"{97.5,63.2}",Incomplete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,93,"{113.6,23.8}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Center Forward,4,"{58.0,8.1}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Center Forward,6,"{84.1,46.2}",Complete
159764,Jorge Ortiz Mendoza,Goa,Center Forward,8,"{61.0,11.3}",Complete
159764,Jorge Ortiz Mendoza,Goa,Center Forward,12,"{82.8,53.8}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Center Forward,13,"{62.1,15.8}",Incomplete
159764,Jorge Ortiz Mendoza,Goa,Center Forward,20,"{90.5,59.2}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Center Forward,34,"{55.4,42.9}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Center Forward,39,"{107.4,77.6}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Center Forward,39,"{108.1,72.7}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Center Forward,52,"{105.1,75.5}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Center Forward,46,"{44.6,5.3}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Center Forward,82,"{64.0,5.1}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Center Forward,88,"{86.7,5.1}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Center Forward,91,"{52.5,55.8}",Complete
