Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
305,Dejan Ljubicic,at AUT,MFFW,Köln,de Bundesliga,23,1997,21.9,70,3.2,59,0,3,4,2,2,5,0.23,4,0,0,1,0,0,Matches,c455a2b2
306,Iyenoma Udogie,it ITA,DF,Udinese,it Serie A,18,2002,27.5,59,2.14,46,2,3,4,2,2,7,0.25,5,0,0,1,1,0,Matches,7cd520e8
307,Davide Calabria,it ITA,DF,Milan,it Serie A,24,1996,23.5,47,2,32,4,3,4,2,2,5,0.21,3,0,0,2,0,0,Matches,2146785a
308,Bamba Dieng,sn SEN,FWMF,Marseille,fr Ligue 1,21,2000,10.8,19,1.75,10,0,1,4,2,2,6,0.55,2,0,1,0,2,1,Matches,40774c6b
309,Leon Goretzka,de GER,MF,Bayern Munich,de Bundesliga,26,1995,15.5,60,3.87,51,1,0,4,2,2,7,0.45,7,0,0,0,0,0,Matches,cc86b9a3
310,Gianluca Mancini,it ITA,DF,Roma,it Serie A,25,1996,32,31,0.97,23,0,0,4,2,2,3,0.09,2,0,0,1,0,0,Matches,5aa53281
311,Jorge de Frutos,es ESP,MFFW,Levante,es La Liga,24,1997,19.6,51,2.61,31,3,10,4,2,1,11,0.56,7,0,2,1,0,1,Matches,38ce1150
312,Nathan Redmond,eng ENG,MFFW,Southampton,eng Premier League,27,1994,20.4,66,3.24,53,4,2,4,2,1,8,0.39,6,1,0,0,1,0,Matches,ab651565
313,Jürgen Locadia,nl NED,FWMF,Bochum,de Bundesliga,27,1993,4.9,20,4.05,12,0,1,4,2,1,4,0.81,3,0,0,1,0,0,Matches,6cc47ae1
314,Dennis Geiger,de GER,MF,Hoffenheim,de Bundesliga,23,1998,15.3,43,2.81,24,12,0,4,2,1,3,0.2,1,1,0,1,0,0,Matches,37f606f0
315,Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,23,1997,16.6,29,1.75,22,0,0,4,2,1,3,0.18,2,0,0,1,0,0,Matches,cc83b74d
316,Isaac Carcelen,es ESP,DFMF,Cádiz,es La Liga,28,1993,17.2,23,1.34,15,1,0,4,2,1,1,0.06,1,0,0,0,0,0,Matches,c4b888df
317,Denzel Dumfries,nl NED,DF,Inter,it Serie A,25,1996,22.5,55,2.44,42,2,5,4,2,0,6,0.27,4,1,0,0,1,0,Matches,481c9ece
318,Antonín Barák,cz CZE,FWMF,Hellas Verona,it Serie A,26,1994,26,62,2.38,52,0,4,4,2,0,10,0.38,7,0,1,1,1,0,Matches,01efac19
319,Ishak Belfodil,dz ALG,FW,Hertha BSC,de Bundesliga,29,1992,18.2,43,2.37,33,0,4,4,2,0,5,0.28,2,0,1,1,1,0,Matches,ff182fdc
320,Joaquín Correa,ar ARG,FW,Inter,it Serie A,26,1994,11.4,38,3.34,28,0,4,4,2,0,3,0.26,2,0,0,1,0,0,Matches,45b9b619
321,Habib Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,26,1995,17.1,33,1.93,23,0,4,4,2,0,9,0.53,5,0,2,1,1,0,Matches,6605d143
322,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32,38,1.19,27,2,3,4,2,0,5,0.16,5,0,0,0,0,0,Matches,774cf58b
323,Gianluca Scamacca,it ITA,FW,Sassuolo,it Serie A,22,1999,23.8,53,2.22,46,0,1,4,2,0,4,0.17,3,0,0,1,0,0,Matches,8790f988
324,Alberto Grassi,it ITA,MF,Cagliari,it Serie A,26,1995,24.2,31,1.28,22,2,1,4,2,0,2,0.08,1,0,0,1,0,0,Matches,6cc97b6a
325,Sehrou Guirassy,gn GUI,FW,Rennes,fr Ligue 1,25,1996,11.3,20,1.77,13,0,1,4,2,0,1,0.09,1,0,0,0,0,0,Matches,923f4dda
326,Ajdin Hrustic,au AUS,MF,Eint Frankfurt,de Bundesliga,25,1996,10.7,21,1.96,10,4,1,4,2,0,0,0,0,0,0,0,0,0,Matches,1f2d714c
327,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,31,1.49,24,1,0,4,2,0,1,0.05,1,0,0,0,0,0,Matches,8bc8829a
328,Fernandinho,br BRA,MFDF,Manchester City,eng Premier League,36,1985,10.7,30,2.8,24,0,0,4,2,0,4,0.37,4,0,0,0,0,0,Matches,101da2b5
329,Sandro Tonali,it ITA,MF,Milan,it Serie A,21,2000,28.9,74,2.56,41,21,3,4,1,4,5,0.17,3,1,0,0,0,1,Matches,0db169ae
330,Willian José,br BRA,FW,Betis,es La Liga,29,1991,17.8,43,2.41,34,0,1,4,1,3,6,0.34,5,0,0,1,0,0,Matches,d87e2cae
331,Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,35,1986,32.6,39,1.2,30,0,1,4,1,3,1,0.03,1,0,0,0,0,0,Matches,07c7eb0c
332,Nedim Bajrami,al ALB,MFFW,Empoli,it Serie A,22,1999,22.8,98,4.29,64,20,7,4,1,2,6,0.26,5,0,0,1,0,0,Matches,f42d6c13
333,Moanes Dabbur,il ISR,FWMF,Hoffenheim,de Bundesliga,29,1992,14.6,34,2.34,26,0,1,4,1,2,7,0.48,6,0,0,0,0,1,Matches,eac044ad
334,Benjamin Pavard,fr FRA,DF,Bayern Munich,de Bundesliga,25,1996,23.1,45,1.95,37,1,0,4,1,2,4,0.17,4,0,0,0,0,0,Matches,45a03961
335,Arnaut Groeneveld,nl NED,FW,Villarreal,es La Liga,24,1997,16.4,36,2.2,21,0,9,4,1,1,8,0.49,4,0,3,1,0,0,Matches,f08490a6
336,Mario Pašalić,hr CRO,MFFW,Atalanta,it Serie A,26,1995,22.2,67,3.01,58,0,3,4,1,1,10,0.45,10,0,0,0,0,0,Matches,e599253a
337,Danny Ings,eng ENG,FW,Aston Villa,eng Premier League,29,1992,21.1,31,1.47,24,0,1,4,1,1,8,0.38,8,0,0,0,0,0,Matches,07802f7f
338,Andrei Girotto,br BRA,DFMF,Nantes,fr Ligue 1,29,1992,35,24,0.69,17,0,1,4,1,1,3,0.09,3,0,0,0,0,0,Matches,3befc2b6
339,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,28,1993,27.9,20,0.72,11,2,1,4,1,1,1,0.04,1,0,0,0,0,0,Matches,d8931174
340,Jonas Martin,fr FRA,MF,Rennes,fr Ligue 1,31,1990,23.4,36,1.54,29,1,0,4,1,1,3,0.13,2,0,0,0,1,0,Matches,468fdbad
341,Ben White,eng ENG,DF,Arsenal,eng Premier League,23,1997,32,25,0.78,18,1,0,4,1,1,1,0.03,1,0,0,0,0,0,Matches,35e413f1
342,Roberto Pereyra,ar ARG,MFFW,Udinese,it Serie A,30,1991,19.9,56,2.81,45,1,5,4,1,0,8,0.4,5,0,2,1,0,0,Matches,75f2c59f
343,Jacob Murphy,eng ENG,FWDF,Newcastle Utd,eng Premier League,26,1995,16.4,45,2.75,34,2,4,4,1,0,5,0.31,2,0,0,2,1,0,Matches,de112b84
344,Robin Hack,de GER,FWMF,Arminia,de Bundesliga,22,1998,15.2,37,2.44,27,2,3,4,1,0,3,0.2,2,0,0,1,0,0,Matches,0174ba21
345,Caleb Ekuban,gh GHA,FWMF,Genoa,it Serie A,27,1994,19.1,32,1.68,24,0,3,4,1,0,3,0.16,2,0,1,0,0,0,Matches,7afbd2c3
346,Lee Jae-sung,kr KOR,MFFW,Mainz 05,de Bundesliga,28,1992,16,50,3.13,43,1,1,4,1,0,5,0.31,5,0,0,0,0,0,Matches,34b0387f
347,Giulian Biancone,fr FRA,DF,Troyes,fr Ligue 1,21,2000,25.5,36,1.41,29,2,0,4,1,0,3,0.12,2,1,0,0,0,0,Matches,de40e38c
348,Thiago Galhardo,br BRA,FWMF,Celta Vigo,es La Liga,32,1989,12.8,25,1.96,20,0,0,4,1,0,4,0.31,4,0,0,0,0,0,Matches,766f48dd
349,Mauro Icardi,ar ARG,FW,Paris S-G,fr Ligue 1,28,1993,11.4,20,1.75,15,0,0,4,1,0,4,0.35,1,0,0,3,0,0,Matches,43b78598
350,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,25,1996,31.9,15,0.47,10,0,0,4,1,0,1,0.03,0,0,0,1,0,0,Matches,302527b2
351,Naby Keïta,gn GUI,MF,Liverpool,eng Premier League,26,1995,13,43,3.3,33,0,3,4,0,3,6,0.46,4,0,1,1,0,0,Matches,f25c8e3a
352,Vedat Muriqi,xk KVX,FW,Mallorca,es La Liga,27,1994,16,36,2.25,26,0,4,4,0,2,6,0.38,4,0,1,1,0,0,Matches,0cadc46d
353,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,46,1.57,37,2,1,4,0,2,8,0.27,7,0,0,1,0,0,Matches,05439de2
354,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,27,1994,34.1,28,0.82,22,0,0,4,0,2,4,0.12,2,0,0,2,0,0,Matches,ac861941
355,Remi Oudin,fr FRA,MFFW,Bordeaux,fr Ligue 1,24,1996,19.3,45,2.33,31,5,4,4,0,1,7,0.36,6,0,0,0,0,1,Matches,ea02beaf
356,Cristian Tello,es ESP,FWMF,Betis,es La Liga,29,1991,9.1,33,3.63,24,0,4,4,0,1,2,0.22,2,0,0,0,0,0,Matches,72a99e38
357,Raphaël Guerreiro,pt POR,DF,Dortmund,de Bundesliga,27,1993,19.9,54,2.71,35,12,2,4,0,1,8,0.4,6,0,0,2,0,0,Matches,048a1cbc
358,Wylan Cyprien,fr FRA,MF,Nantes,fr Ligue 1,26,1995,16.6,51,3.08,28,17,1,4,0,1,8,0.48,3,2,0,2,0,1,Matches,3e092724
359,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,25,1995,23.7,31,1.31,26,0,0,4,0,1,4,0.17,3,0,0,1,0,0,Matches,7f267d66
360,Timo Baumgartl,de GER,DF,Union Berlin,de Bundesliga,25,1996,24.1,16,0.66,10,1,0,4,0,1,2,0.08,1,0,0,1,0,0,Matches,bd7d2e6d
361,Karl Toko Ekambi,cm CMR,FW,Lyon,fr Ligue 1,28,1992,25.5,74,2.9,57,0,13,4,0,0,12,0.47,9,0,1,2,0,0,Matches,5ceba7fc
362,Philipp Förster,de GER,FWMF,Stuttgart,de Bundesliga,26,1995,10.7,25,2.33,17,2,2,4,0,0,2,0.19,2,0,0,0,0,0,Matches,76fa965f
363,Pascal Groß,de GER,MFDF,Brighton,eng Premier League,30,1991,22.6,91,4.02,49,37,1,4,0,0,7,0.31,2,3,1,1,0,0,Matches,8aec0537
364,Julian Ryerson,no NOR,DF,Union Berlin,de Bundesliga,23,1997,15.9,31,1.95,25,1,1,4,0,0,3,0.19,2,0,0,1,0,0,Matches,009a4f60
365,Diadie Samassékou,ml MLI,MF,Hoffenheim,de Bundesliga,25,1996,18.4,21,1.14,16,0,1,4,0,0,3,0.16,2,0,0,1,0,0,Matches,8593525
