Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
625,Jeremy Dudziak,tn TUN,MFFW,Greuther Fürth,de Bundesliga,25,1995,12.6,28,2.22,18,2,2,2,4,0,3,0.24,0,0,1,0,2,0,Matches,5a8d6540
626,Sekou Mara,fr FRA,FW,Bordeaux,fr Ligue 1,19,2002,10.1,24,2.39,16,0,2,2,4,0,3,0.3,1,0,1,0,1,0,Matches,3544641e
627,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,22,1998,13.7,38,2.76,19,0,7,2,3,7,3,0.22,1,0,0,0,0,2,Matches,46fa7204
628,Lucas Ocampos,ar ARG,FW,Sevilla,es La Liga,27,1994,23.6,46,1.95,28,2,8,2,3,3,7,0.3,4,0,3,0,0,0,Matches,a08b974a
629,Juan Cuadrado,co COL,DFMF,Juventus,it Serie A,33,1988,27.6,107,3.87,71,21,7,2,3,3,11,0.4,6,1,3,0,1,0,Matches,0ab1f153
630,Jamal Musiala,de GER,MFFW,Bayern Munich,de Bundesliga,18,2003,16.3,68,4.18,53,0,7,2,3,3,10,0.61,8,0,2,0,0,0,Matches,2c0558b8
631,Daichi Kamada,jp JPN,MFFW,Eint Frankfurt,de Bundesliga,24,1996,23.8,67,2.82,51,4,5,2,3,2,7,0.29,6,0,1,0,0,0,Matches,15b287da
632,Thorgan Hazard,be BEL,FWDF,Dortmund,de Bundesliga,28,1993,14.9,42,2.83,25,5,5,2,3,2,5,0.34,1,0,2,1,0,1,Matches,50871bcc
633,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,25,1995,29.6,70,2.37,30,29,4,2,3,2,11,0.37,4,4,2,0,0,1,Matches,58afe001
634,Étienne Capoue,fr FRA,MF,Villarreal,es La Liga,33,1988,25.4,25,0.98,16,0,2,2,3,2,3,0.12,2,0,0,1,0,0,Matches,5acc4a10
635,Masaya Okugawa,jp JPN,MFFW,Arminia,de Bundesliga,25,1996,28.1,42,1.49,34,0,1,2,3,2,3,0.11,2,0,0,1,0,0,Matches,63b9cc6d
636,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,32,1988,29.5,38,1.29,28,3,0,2,3,2,4,0.14,2,0,0,0,2,0,Matches,0420d84f
637,Ibrahima Koné,ml MLI,FW,Lorient,fr Ligue 1,22,1999,8.1,25,3.07,18,0,0,2,3,2,3,0.37,2,0,0,0,0,1,Matches,04bb2b06
638,Kike Barja,es ESP,MFFW,Osasuna,es La Liga,24,1997,9.6,22,2.29,15,0,0,2,3,2,3,0.31,1,0,0,1,1,0,Matches,aad53e64
639,Genki Haraguchi,jp JPN,MF,Union Berlin,de Bundesliga,30,1991,19.5,41,2.1,33,0,2,2,3,1,6,0.31,5,0,0,0,0,1,Matches,f24ea523
640,Florian Niederlechner,de GER,FW,Augsburg,de Bundesliga,30,1990,12.9,29,2.24,21,0,2,2,3,1,6,0.46,4,0,0,0,2,0,Matches,d6862409
641,Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,26,1995,27.5,135,4.91,71,57,1,2,3,1,22,0.8,9,12,0,0,1,0,Matches,49296448
642,Guido Rodríguez,ar ARG,MF,Betis,es La Liga,27,1994,28.1,47,1.67,40,0,1,2,3,1,4,0.14,4,0,0,0,0,0,Matches,34e393f2
643,Miloš Pantović,rs SRB,MFFW,Bochum,de Bundesliga,25,1996,17,53,3.11,37,10,0,2,3,1,5,0.29,5,0,0,0,0,0,Matches,5dc15574
644,Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,31,1989,9,21,2.34,15,0,0,2,3,1,1,0.11,1,0,0,0,0,0,Matches,2691c772
645,Lee Kangin,kr KOR,MFFW,Mallorca,es La Liga,20,2001,15.7,48,3.06,28,11,4,2,3,0,3,0.19,1,1,1,0,0,0,Matches,8455ad90
646,Sergio Reguilón,es ESP,DF,Tottenham,eng Premier League,24,1996,21.3,52,2.44,41,3,3,2,3,0,5,0.23,5,0,0,0,0,0,Matches,3353737a
647,Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,28,1993,22.8,67,2.94,27,32,3,2,3,0,11,0.48,7,2,1,0,1,0,Matches,54b4dc4e
648,Ángel Rodríguez,es ESP,FW,Mallorca,es La Liga,34,1987,17.2,31,1.81,24,0,2,2,3,0,6,0.35,3,0,1,0,2,0,Matches,8cfc2f69
649,Saîf-Eddine Khaoui,tn TUN,MFFW,Clermont Foot,fr Ligue 1,26,1995,10.3,30,2.91,13,10,2,2,3,0,1,0.1,1,0,0,0,0,0,Matches,796b1c41
650,Dennis Praet,be BEL,FWMF,Torino,it Serie A,27,1994,17.1,45,2.63,38,1,1,2,3,0,5,0.29,3,0,0,1,1,0,Matches,86695068
651,Pedri,es ESP,MF,Barcelona,es La Liga,18,2002,9.8,39,3.97,27,6,1,2,3,0,6,0.61,4,0,0,1,1,0,Matches,0d9b2d31
652,Philippe Koffi,fr FRA,FW,Reims,fr Ligue 1,19,2002,4.2,13,3.12,7,0,1,2,3,0,1,0.24,0,0,0,1,0,0,Matches,9f1c2822
653,Quentin Boisgard,fr FRA,MFFW,Lorient,fr Ligue 1,24,1997,10.6,30,2.82,19,6,0,2,3,0,2,0.19,2,0,0,0,0,0,Matches,f6496133
654,Enock Mwepu,zm ZAM,MFFW,Brighton,eng Premier League,23,1998,11.1,22,1.99,17,0,0,2,3,0,7,0.63,6,0,0,0,1,0,Matches,1d5cab82
655,Óscar Rodríguez Arnaiz,es ESP,MFFW,Getafe,es La Liga,23,1998,10.5,25,2.39,10,10,0,2,3,0,3,0.29,3,0,0,0,0,0,Matches,19709006
656,Felix Kalu Nmecha,de GER,MFFW,Wolfsburg,de Bundesliga,20,2000,3.6,9,2.51,4,0,0,2,3,0,1,0.28,0,0,0,1,0,0,Matches,091c86e2
657,Azzedine Ounahi,ma MAR,MF,Angers,fr Ligue 1,21,2000,18.1,46,2.54,33,0,7,2,2,2,4,0.22,2,0,1,0,1,0,Matches,83299cc0
658,Orel Mangala,be BEL,MF,Stuttgart,de Bundesliga,23,1998,20.6,51,2.48,40,0,5,2,2,2,7,0.34,6,0,1,0,0,0,Matches,a572e291
659,Kingsley Coman,fr FRA,FWDF,Bayern Munich,de Bundesliga,25,1996,15.1,51,3.38,40,2,3,2,2,2,4,0.26,4,0,0,0,0,0,Matches,042e8a49
660,Ryad Boudebouz,dz ALG,MFFW,Saint-Étienne,fr Ligue 1,31,1990,25,90,3.6,70,12,2,2,2,2,6,0.24,5,0,0,1,0,0,Matches,1001ae82
661,Simone Bastoni,it ITA,MFDF,Spezia,it Serie A,24,1996,25.4,73,2.87,46,19,2,2,2,2,5,0.2,3,1,0,1,0,0,Matches,1ac232b8
662,Santi Comesaña,es ESP,MF,Rayo Vallecano,es La Liga,24,1996,29.8,54,1.81,44,2,2,2,2,2,5,0.17,3,0,1,1,0,0,Matches,5ae499d0
663,Édgar Méndez,es ESP,FWMF,Alavés,es La Liga,31,1990,17.9,33,1.84,25,0,2,2,2,2,1,0.06,1,0,0,0,0,0,Matches,aed746df
664,Jorginho,it ITA,MF,Chelsea,eng Premier League,29,1991,25.3,60,2.38,52,1,1,2,2,2,8,0.32,8,0,0,0,0,0,Matches,45db685d
665,Fabián Ruiz Peña,es ESP,MF,Napoli,it Serie A,25,1996,26.5,80,3.02,74,0,0,2,2,2,10,0.38,9,0,0,0,0,1,Matches,c0c7ff58
666,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,24,1996,24.4,49,2.01,41,2,0,2,2,2,6,0.25,5,0,0,0,1,0,Matches,beb882a8
667,Jean-Paul Boëtius,nl NED,MF,Mainz 05,de Bundesliga,27,1994,20,55,2.75,39,10,0,2,2,2,6,0.3,4,1,0,1,0,0,Matches,635f2732
668,Matteo Darmian,it ITA,DF,Inter,it Serie A,31,1989,16.7,43,2.57,36,1,0,2,2,2,4,0.24,4,0,0,0,0,0,Matches,96e0490d
669,Catena,es ESP,DF,Rayo Vallecano,es La Liga,26,1994,36,25,0.69,17,2,0,2,2,2,3,0.08,2,0,0,1,0,0,Matches,274ab13c
670,Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,27,1994,30.6,22,0.72,16,0,0,2,2,2,2,0.07,2,0,0,0,0,0,Matches,59e4b92e
671,Samuel Chukwueze,ng NGA,MFFW,Villarreal,es La Liga,22,1999,14.8,50,3.38,36,0,9,2,2,1,7,0.47,3,0,2,2,0,0,Matches,b8a642fc
672,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,20,2000,19.3,60,3.1,43,5,7,2,2,1,5,0.26,3,1,1,0,0,0,Matches,d781d855
673,Musa Barrow,gm GAM,FWMF,Bologna,it Serie A,22,1998,23.7,86,3.63,67,10,4,2,2,1,10,0.42,8,1,0,1,0,0,Matches,e5bf73f3
674,Ademola Lookman,ng NGA,FWMF,Leicester City,eng Premier League,23,1997,16.1,40,2.48,30,1,4,2,2,1,2,0.12,1,0,0,0,1,0,Matches,7c104bb7
675,Arnaud Kalimuendo,fr FRA,FW,Lens,fr Ligue 1,19,2002,23.9,47,1.97,39,0,3,2,2,1,4,0.17,2,0,1,1,0,0,Matches,bf4c41f9
676,Dejan Kulusevski,se SWE,FWMF,Juventus,it Serie A,21,2000,8.6,23,2.68,15,0,3,2,2,1,5,0.58,3,0,2,0,0,0,Matches,df3cda47
677,Reinildo Mandava,mz MOZ,DF,Lille,fr Ligue 1,27,1994,16.9,19,1.12,12,0,2,2,2,1,3,0.18,2,0,0,0,1,0,Matches,c20bdcd7
678,Zeki Çelik,tr TUR,DF,Lille,fr Ligue 1,24,1997,30,45,1.5,37,2,1,2,2,1,6,0.2,4,0,0,1,1,0,Matches,31a62dc7
679,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,21,1999,18,31,1.72,25,0,1,2,2,1,5,0.28,4,0,1,0,0,0,Matches,f9d5908e
680,Antonio Sánchez,es ESP,MFFW,Mallorca,es La Liga,24,1997,18,31,1.73,24,1,1,2,2,1,0,0,0,0,0,0,0,0,Matches,a254bbe0
681,Janni Serra,de GER,FW,Arminia,de Bundesliga,23,1998,12.4,23,1.85,17,0,1,2,2,1,3,0.24,1,0,1,1,0,0,Matches,40b58bfc
682,Emerson Palmieri,it ITA,DF,Lyon,fr Ligue 1,26,1994,25.2,56,2.23,41,10,0,2,2,1,4,0.16,4,0,0,0,0,0,Matches,e0bc6fdc
683,Marcus Coco,fr FRA,FWDF,Nantes,fr Ligue 1,25,1996,10.3,15,1.45,10,0,0,2,2,1,2,0.19,2,0,0,0,0,0,Matches,3010aefb
684,Harvey Barnes,eng ENG,FWMF,Leicester City,eng Premier League,23,1997,23.3,57,2.44,45,0,8,2,2,0,13,0.56,11,0,0,2,0,0,Matches,3ea50f67
685,Chris Führich,de GER,MFFW,Stuttgart,de Bundesliga,23,1998,19,61,3.2,38,13,6,2,2,0,4,0.21,1,2,0,1,0,0,Matches,0cf778df
686,Amine Harit,ma MAR,FWMF,Marseille,fr Ligue 1,24,1997,12.9,49,3.79,33,6,6,2,2,0,7,0.54,4,1,2,0,0,0,Matches,e7d59f4f
687,Nélson Semedo,pt POR,DF,Wolves,eng Premier League,27,1993,23.7,37,1.56,29,0,4,2,2,0,1,0.04,1,0,0,0,0,0,Matches,d04b94db
688,Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,29,1992,32.7,45,1.37,35,3,3,2,2,0,7,0.21,4,2,1,0,0,0,Matches,61b3978f
689,Justin Kluivert,nl NED,MF,Nice,fr Ligue 1,22,1999,20.8,62,2.99,33,22,3,2,2,0,8,0.39,4,3,1,0,0,0,Matches,4c3a6744
690,Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,26,1995,25.4,39,1.54,32,0,3,2,2,0,3,0.12,3,0,0,0,0,0,Matches,8.79E+254
691,Matías Viña,uy URU,DF,Roma,it Serie A,23,1997,17.4,37,2.13,27,3,3,2,2,0,3,0.17,2,1,0,0,0,0,Matches,08eb3b58
692,Tyler Roberts,wls WAL,MFFW,Leeds United,eng Premier League,22,1999,11,28,2.55,22,0,2,2,2,0,1,0.09,1,0,0,0,0,0,Matches,6c17e046
693,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,1998,29.4,28,0.95,21,1,2,2,2,0,1,0.03,1,0,0,0,0,0,Matches,bcc81786
694,Romain Del Castillo,fr FRA,MFFW,Brest,fr Ligue 1,25,1996,10.8,29,2.68,20,3,2,2,2,0,8,0.74,5,2,0,0,1,0,Matches,0be95d34
695,Pedro Neto,pt POR,FWMF,Wolves,eng Premier League,21,2000,5.2,23,4.44,13,4,2,2,2,0,1,0.19,1,0,0,0,0,0,Matches,7ba2eaa9
696,Ebrima Colley,gm GAM,FWMF,Spezia,it Serie A,21,2000,4.4,14,3.2,7,1,2,2,2,0,0,0,0,0,0,0,0,0,Matches,bf356094
697,Antonio Rüdiger,de GER,DF,Chelsea,eng Premier League,28,1993,33.7,39,1.16,34,0,1,2,2,0,8,0.24,5,0,0,1,2,0,Matches,18b896d6
698,Tetê,br BRA,FWMF,Lyon,fr Ligue 1,21,2000,6.5,25,3.86,18,2,1,2,2,0,7,1.08,5,1,1,0,0,0,Matches,7120a04d
699,Chris Wood,nz NZL,FW,Burnley,eng Premier League,29,1991,15.2,21,1.38,16,0,1,2,2,0,2,0.13,2,0,0,0,0,0,Matches,4e9a0555
700,Robert Gumny,pl POL,DF,Augsburg,de Bundesliga,23,1998,25.2,21,0.83,15,1,1,2,2,0,1,0.04,0,0,0,1,0,0,Matches,1df0c0b9
701,Lars Stindl,de GER,MFFW,M'Gladbach,de Bundesliga,32,1988,18.1,56,3.09,50,2,0,2,2,0,8,0.44,8,0,0,0,0,0,Matches,7cd6badb
702,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,33,1988,25.5,39,1.53,28,7,0,2,2,0,2,0.08,2,0,0,0,0,0,Matches,e74f0e59
703,Thomas Meunier,be BEL,DF,Dortmund,de Bundesliga,29,1991,15.6,28,1.8,24,0,0,2,2,0,7,0.45,6,0,0,0,1,0,Matches,e162b013
704,Leonardo Pavoletti,it ITA,FW,Cagliari,it Serie A,32,1988,16.9,28,1.66,24,0,0,2,2,0,3,0.18,2,0,0,0,1,0,Matches,d37b0350
705,Carlos Bacca,co COL,FW,Granada,es La Liga,34,1986,5.7,13,2.28,9,0,0,2,2,0,2,0.35,1,0,0,0,1,0,Matches,09a9e921
706,Luca Waldschmidt,de GER,MFFW,Wolfsburg,de Bundesliga,25,1996,8,15,1.88,9,2,0,2,2,0,2,0.25,0,0,0,1,1,0,Matches,e5a35ae9
707,Robin Gosens,de GER,DF,Atalanta,it Serie A,27,1994,5.1,12,2.35,8,0,0,2,2,0,1,0.2,0,0,0,0,1,0,Matches,2d970560
708,Alfonso Espino,uy URU,DF,Cádiz,es La Liga,29,1992,37,72,1.95,52,10,2,2,1,5,4,0.11,3,0,0,0,0,1,Matches,db001fa9
709,Gerrit Holtmann,ph PHI,FWMF,Bochum,de Bundesliga,26,1995,20.4,60,2.93,44,0,10,2,1,3,9,0.44,6,0,2,1,0,0,Matches,2979c05a
710,Maxime Lopez,fr FRA,MF,Sassuolo,it Serie A,23,1997,32.6,93,2.85,82,0,5,2,1,3,7,0.21,7,0,0,0,0,0,Matches,20094685
711,Moussa Sissoko,fr FRA,MF,Watford,eng Premier League,31,1989,35.8,62,1.73,52,0,4,2,1,3,4,0.11,2,0,1,0,0,1,Matches,2acd49b9
712,Adrien Tameze,cm CMR,MFDF,Hellas Verona,it Serie A,27,1994,28.6,56,1.96,46,1,3,2,1,3,6,0.21,4,1,1,0,0,0,Matches,8da74c05
713,Timothy Tillman,de GER,MF,Greuther Fürth,de Bundesliga,22,1999,22.3,45,2.02,28,8,3,2,1,3,3,0.13,2,0,0,0,0,1,Matches,a5bea1fb
714,Declan Rice,eng ENG,MF,West Ham,eng Premier League,22,1999,35.3,59,1.67,50,1,2,2,1,3,8,0.23,8,0,0,0,0,0,Matches,1c7012b8
715,Florian Kainz,at AUT,MFFW,Köln,de Bundesliga,28,1992,25.8,79,3.06,46,25,2,2,1,3,15,0.58,10,2,0,2,0,1,Matches,94c18565
716,Kalidou Koulibaly,sn SEN,DF,Napoli,it Serie A,30,1991,26.7,20,0.75,13,0,1,2,1,3,4,0.15,2,0,0,1,0,1,Matches,da974c7b
717,Marcelo Brozović,hr CRO,MF,Inter,it Serie A,28,1992,32.6,87,2.67,79,2,0,2,1,3,11,0.34,11,0,0,0,0,0,Matches,33b8d077
718,Pascal Struijk,nl NED,DF,Leeds United,eng Premier League,21,1999,22.8,19,0.83,13,0,0,2,1,3,2,0.09,0,0,0,1,0,1,Matches,f4d296e4
719,Matthijs de Ligt,nl NED,DF,Juventus,it Serie A,21,1999,29.7,19,0.64,13,0,0,2,1,3,1,0.03,1,0,0,0,0,0,Matches,d6e53a3a
720,Emerson,br BRA,DF,Tottenham,eng Premier League,22,1999,25.4,49,1.93,40,0,4,2,1,2,4,0.16,4,0,0,0,0,0,Matches,df8b52a5
721,Kelechi Iheanacho,ng NGA,FW,Leicester City,eng Premier League,24,1996,14,36,2.56,28,1,2,2,1,2,8,0.57,5,0,0,1,0,2,Matches,c92e1a31
722,Vincent Le Goff,fr FRA,DF,Lorient,fr Ligue 1,31,1989,34,60,1.76,49,5,1,2,1,2,5,0.15,4,0,0,1,0,0,Matches,2321ea6e
723,Kristjan Asllani,al ALB,MF,Empoli,it Serie A,19,2002,15,28,1.86,19,3,1,2,1,2,2,0.13,2,0,0,0,0,0,Matches,0fdcef0e
724,Imran Louza,ma MAR,MF,Watford,eng Premier League,22,1999,15.7,30,1.91,13,11,1,2,1,2,1,0.06,1,0,0,0,0,0,Matches,e1df6989
725,Mato Jajalo,ba BIH,MF,Udinese,it Serie A,33,1988,7,18,2.58,12,0,1,2,1,2,2,0.29,1,0,0,0,1,0,Matches,8c65eb5f
726,Emil Forsberg,se SWE,MFFW,RB Leipzig,de Bundesliga,29,1991,19,54,2.85,36,8,6,2,1,1,6,0.32,3,1,1,0,1,0,Matches,9a2e0ccc
727,Romain Perraud,fr FRA,DF,Southampton,eng Premier League,23,1997,18,27,1.5,20,1,2,2,1,1,3,0.17,3,0,0,0,0,0,Matches,6dfd8f05
728,Marc Cucurella,es ESP,DF,Brighton,eng Premier League,23,1998,34.3,78,2.27,66,7,1,2,1,1,2,0.06,1,1,0,0,0,0,Matches,1daec722
729,Ashley Westwood,eng ENG,MF,Burnley,eng Premier League,31,1990,25.4,55,2.16,33,17,1,2,1,1,7,0.28,5,2,0,0,0,0,Matches,495945ef
730,Denis Zakaria,ch SUI,MFDF,M'Gladbach,de Bundesliga,24,1996,15.5,24,1.55,19,0,1,2,1,1,3,0.19,2,0,0,1,0,0,Matches,384d58d9
731,El Bilal Touré,ml MLI,FW,Reims,fr Ligue 1,19,2001,13.3,21,1.58,16,0,1,2,1,1,5,0.38,3,0,0,2,0,0,Matches,47c609d5
732,Vincent Pajot,fr FRA,MF,Metz,fr Ligue 1,30,1990,25.7,32,1.25,28,0,0,2,1,1,0,0,0,0,0,0,0,0,Matches,f86ca403
733,Portu,es ESP,FWMF,Real Sociedad,es La Liga,29,1992,17.7,34,1.92,27,3,0,2,1,1,4,0.23,3,0,0,0,1,0,Matches,1bda5842
734,Óscar Valentín,es ESP,MF,Rayo Vallecano,es La Liga,26,1994,28.5,29,1.02,25,0,0,2,1,1,0,0,0,0,0,0,0,0,Matches,592f3158
735,Kevin Stöger,at AUT,MFFW,Mainz 05,de Bundesliga,27,1993,4.7,27,5.8,18,5,0,2,1,1,1,0.21,1,0,0,0,0,0,Matches,e5649a78
736,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,23,1998,16.3,20,1.23,15,1,0,2,1,1,2,0.12,0,0,0,2,0,0,Matches,d4d35152
737,Thomas Delaney,dk DEN,MF,Sevilla,es La Liga,29,1991,17.2,15,0.87,11,0,0,2,1,1,2,0.12,1,0,0,1,0,0,Matches,fe641c1a
738,Luis Henrique,br BRA,FWMF,Marseille,fr Ligue 1,19,2001,7.8,14,1.8,10,0,0,2,1,1,1,0.13,1,0,0,0,0,0,Matches,f36d5624
739,Daniel Vivian,es ESP,DF,Athletic Club,es La Liga,22,1999,22.1,8,0.36,4,0,0,2,1,1,1,0.05,1,0,0,0,0,0,Matches,ab7bf91d
740,Jadon Sancho,eng ENG,FWMF,Manchester Utd,eng Premier League,21,2000,21.1,82,3.88,67,3,9,2,1,0,8,0.38,6,0,2,0,0,0,Matches,dbf053da
741,Yayah Kallon,sl SLE,FWMF,Genoa,it Serie A,20,2001,7.1,24,3.4,16,0,5,2,1,0,4,0.57,3,0,0,0,1,0,Matches,f95f49d2
742,Alfonso Pedraza,es ESP,DF,Villarreal,es La Liga,25,1996,18.9,40,2.12,33,0,4,2,1,0,8,0.42,7,0,1,0,0,0,Matches,63f04c6c
743,Gastón Pereiro,uy URU,FWMF,Cagliari,it Serie A,26,1995,10.8,39,3.6,24,8,4,2,1,0,3,0.28,2,1,0,0,0,0,Matches,7ec7738e
744,Álex Collado,es ESP,MFFW,Granada,es La Liga,22,1999,11.3,33,2.91,21,5,4,2,1,0,2,0.18,1,1,0,0,0,0,Matches,85dace26
745,Konrad Laimer,at AUT,MF,RB Leipzig,de Bundesliga,24,1997,13.8,33,2.4,27,0,3,2,1,0,6,0.44,4,0,1,1,0,0,Matches,c1b7847c
746,Jonathan Ikone,fr FRA,FW,Fiorentina,it Serie A,23,1998,7.2,21,2.91,15,0,3,2,1,0,2,0.28,1,0,0,1,0,0,Matches,42eaa028
747,Sergi Canós,es ESP,DF,Brentford,eng Premier League,24,1997,23.1,35,1.51,28,2,2,2,1,0,5,0.22,4,0,0,1,0,0,Matches,1137759d
748,Max Kruse,de GER,FWMF,Wolfsburg,de Bundesliga,33,1988,12.5,26,2.07,21,0,2,2,1,0,3,0.24,2,0,0,0,1,0,Matches,f9446dcd
749,Chris Wood,nz NZL,FW,Newcastle Utd,eng Premier League,29,1991,14.7,21,1.42,16,0,2,2,1,0,2,0.14,1,0,0,0,1,0,Matches,4e9a0555
750,Fabian Schär,ch SUI,DF,Newcastle Utd,eng Premier League,29,1991,24,24,1,16,3,2,2,1,0,4,0.17,3,0,1,0,0,0,Matches,c8aa95da
751,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,1986,7.7,24,3.13,16,3,2,2,1,0,5,0.65,4,0,0,1,0,0,Matches,bbafc0c4
752,Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,30,1991,5.5,19,3.43,14,0,2,2,1,0,3,0.54,1,0,0,1,1,0,Matches,30ae134d
753,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,84,2.86,78,2,1,2,1,0,13,0.44,12,0,0,1,0,0,Matches,4.60E+197
754,Filippo Bandinelli,it ITA,MF,Empoli,it Serie A,26,1995,21.7,52,2.39,46,2,1,2,1,0,4,0.18,4,0,0,0,0,0,Matches,d44360be
755,Andoni Gorosabel,es ESP,DF,Real Sociedad,es La Liga,24,1996,25.4,46,1.81,39,3,1,2,1,0,4,0.16,4,0,0,0,0,0,Matches,6f5f82c0
756,José Callejón,es ESP,FW,Fiorentina,it Serie A,34,1987,14.4,44,3.05,29,11,1,2,1,0,4,0.28,4,0,0,0,0,0,Matches,78841da9
757,Brian Oliván,es ESP,DF,Mallorca,es La Liga,27,1994,24.3,35,1.44,21,10,1,2,1,0,1,0.04,0,0,0,0,1,0,Matches,a3e4bf46
758,M'Baye Niang,sn SEN,FW,Bordeaux,fr Ligue 1,26,1994,8.6,16,1.85,12,0,1,2,1,0,2,0.23,2,0,0,0,0,0,Matches,2054d037
759,Njegoš Petrović,rs SRB,MF,Granada,es La Liga,22,1999,10.2,16,1.57,12,0,1,2,1,0,3,0.29,2,0,0,1,0,0,Matches,0cb29e91
760,Alexis Tibidi,fr FRA,FWMF,Stuttgart,de Bundesliga,17,2003,4.3,12,2.81,8,0,1,2,1,0,1,0.23,0,0,0,1,0,0,Matches,ca6f4846
761,Roberto Navarro,es ESP,MFFW,Real Sociedad,es La Liga,19,2002,2.2,7,3.17,3,0,1,2,1,0,0,0,0,0,0,0,0,0,Matches,c997b942
762,Carlos Soler,es ESP,MF,Valencia,es La Liga,24,1997,27.5,79,2.87,40,36,0,2,1,0,8,0.29,4,4,0,0,0,0,Matches,fed17f5a
763,Aarón Martín,es ESP,DF,Mainz 05,de Bundesliga,24,1997,25.5,64,2.51,34,27,0,2,1,0,3,0.12,1,2,0,0,0,0,Matches,2f3e911a
764,Xherdan Shaqiri,ch SUI,FWMF,Lyon,fr Ligue 1,29,1991,7.5,26,3.45,19,4,0,2,1,0,3,0.4,2,1,0,0,0,0,Matches,6421ec64
765,Gian Marco Ferrari,it ITA,DF,Sassuolo,it Serie A,29,1992,34.7,21,0.6,18,0,0,2,1,0,0,0,0,0,0,0,0,0,Matches,8650af85
766,Mickaël Cuisance,fr FRA,MF,Venezia,it Serie A,21,1999,10.2,21,2.06,17,1,0,2,1,0,1,0.1,1,0,0,0,0,0,Matches,5722eced
767,Jesse Lingard,eng ENG,FWMF,Manchester Utd,eng Premier League,28,1992,4.1,15,3.68,12,0,0,2,1,0,1,0.25,0,0,0,1,0,0,Matches,810e3c74
768,Michael Gregoritsch,at AUT,FWMF,Augsburg,de Bundesliga,27,1994,15.5,14,0.91,11,0,0,2,1,0,1,0.06,0,0,0,1,0,0,Matches,8e235926
769,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,1999,25.2,13,0.51,10,0,0,2,1,0,0,0,0,0,0,0,0,0,Matches,2bef2bca
770,Mats Hummels,de GER,DF,Dortmund,de Bundesliga,32,1988,19.6,12,0.61,8,1,0,2,1,0,3,0.15,2,0,0,1,0,0,Matches,05d548d8
771,Edinson Cavani,uy URU,FW,Manchester Utd,eng Premier League,34,1987,8.5,11,1.29,8,0,0,2,1,0,2,0.23,1,0,0,1,0,0,Matches,527f063d
772,Denis Zakaria,ch SUI,MF,Juventus,it Serie A,24,1996,6.6,10,1.51,7,0,0,2,1,0,1,0.15,1,0,0,0,0,0,Matches,384d58d9
773,Ben Mee,eng ENG,DF,Burnley,eng Premier League,31,1989,20.4,8,0.39,5,0,0,2,1,0,0,0,0,0,0,0,0,0,Matches,8df7a2fb
774,Cole Palmer,eng ENG,FWMF,Manchester City,eng Premier League,19,2002,1.4,7,5.12,4,0,0,2,1,0,1,0.73,0,0,0,1,0,0,Matches,dc7f8a28
775,Corentin Jean,fr FRA,FWDF,Lens,fr Ligue 1,26,1995,2.8,7,2.47,4,0,0,2,1,0,0,0,0,0,0,0,0,0,Matches,7d9b37bf
776,Krzysztof Piątek,pl POL,FW,Hertha BSC,de Bundesliga,26,1995,3.9,4,1.04,1,0,0,2,1,0,1,0.26,0,0,0,1,0,0,Matches,17f3620a
777,N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,30,1991,19.7,61,3.1,52,0,4,2,0,3,13,0.66,11,0,1,1,0,0,Matches,b9fbae28
778,Boulaye Dia,sn SEN,FW,Villarreal,es La Liga,24,1996,14.1,32,2.27,24,0,3,2,0,3,7,0.5,5,0,1,1,0,0,Matches,244bc2c8
779,João Moutinho,pt POR,MF,Wolves,eng Premier League,34,1986,33,68,2.06,44,18,1,2,0,3,4,0.12,3,1,0,0,0,0,Matches,f5a00fa4
780,Otávio,br BRA,MF,Bordeaux,fr Ligue 1,27,1994,12.7,18,1.41,12,0,1,2,0,3,1,0.08,1,0,0,0,0,0,Matches,243f4a0b
781,Kenny McLean,sct SCO,MF,Norwich City,eng Premier League,29,1992,30.1,34,1.13,27,2,0,2,0,3,2,0.07,2,0,0,0,0,0,Matches,471f16b3
