Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,-9999
27,Edouard Mendy,sn SEN,GK,Chelsea,29,1992,34,31,6,0,1,1,29.6,0.26,-0.4,-0.01,114,248,46,763,129,24.8,28.7,176,33.5,30.3,243,19,7.8,19,0.56,13.8,Matches,33887998
28,Illan Meslier,fr FRA,GK,Leeds United,21,2000,37.6,79,5,3,11,1,70.7,0.31,-7.3,-0.19,166,511,32.5,1090,256,35.3,32.9,287,43.9,38.9,245,21,8.6,37,0.98,14.7,Matches,6b625ac2
29,Robin Olsen,se SWE,GK,Aston Villa,31,1990,1,3,0,0,0,0,2.6,0.52,-0.4,-0.4,11,32,34.4,28,6,64.3,45.9,20,70,54,12,1,8.3,0,0,9.7,Matches,e7ee38c3
30,Jordan Pickford,eng ENG,GK,Everton,27,1994,35,58,1,2,12,4,53.8,0.32,-0.2,-0.01,291,821,35.4,871,108,69.3,53,264,82.2,64.9,310,22,7.1,26,0.74,15.2,Matches,4806ec67
31,Nick Pope,eng ENG,GK,Burnley,29,1992,36,47,5,1,7,1,50.4,0.3,+4.4,+0.12,319,847,37.7,793,139,73.4,52.8,285,93,65.9,375,36,9.6,63,1.75,18.2,Matches,4b40d9ca
32,Aaron Ramsdale,eng ENG,GK,Arsenal,23,1998,34,39,5,0,3,1,33.7,0.24,-4.3,-0.13,176,521,33.8,964,157,39.6,37,192,72.4,57.2,260,21,8.1,35,1.03,16,Matches,466fb2c5
33,David Raya,es ESP,GK,Brentford,25,1995,24,27,4,1,4,0,27.5,0.24,+0.5,+0.02,254,577,44,851,116,50.8,41.5,200,72.5,53.7,230,15,6.5,26,1.08,15,Matches,98ea5115
34,John Ruddy,eng ENG,GK,Wolves,34,1986,1.5,3,0,0,1,0,2.3,0.33,-0.7,-0.48,3,12,25,15,4,53.3,46,14,28.6,39.4,4,0,0,1,0.67,21.4,Matches,da8b19e2
35,José Sá,pt POR,GK,Wolves,28,1993,36.5,40,9,1,1,1,48.2,0.27,+9.2,+0.25,166,486,34.2,830,197,42.7,39.3,259,51,42.7,315,34,10.8,40,1.1,15.3,Matches,903b6e8b
36,Robert Sánchez,es ESP,GK,Brighton,23,1997,37,42,3,1,5,0,43.2,0.29,+1.2,+0.03,196,618,31.7,1269,163,36.2,37.6,231,68.8,54.1,317,37,11.7,30,0.81,13.9,Matches,6a713852
37,Kasper Schmeichel,dk DEN,GK,Leicester City,34,1986,37,58,7,1,15,1,56.3,0.29,-0.7,-0.02,256,588,43.5,962,149,45.7,38.9,291,50.9,43.7,278,19,6.8,16,0.43,12.5,Matches,53af52f3
38,Jason Steele,eng ENG,GK,Brighton,30,1990,1,2,0,0,1,0,1.2,0.25,-0.8,-0.77,3,7,42.9,32,2,12.5,26.2,6,50,43.8,11,1,9.1,0,0,13,Matches,28300a16
39,Jed Steer,eng ENG,GK,Aston Villa,28,1992,1,3,0,0,0,0,1.8,0.45,-1.2,-1.2,5,13,38.5,30,6,30,34.4,6,66.7,53.8,8,1,12.5,1,1,14.3,Matches,a8a3d139
40,Zack Steffen,us USA,GK,Manchester City,26,1995,1,0,0,0,0,0,0.3,0.16,+0.3,+0.31,4,9,44.4,31,6,22.6,26,7,28.6,25.3,7,0,0,2,2,17.5,Matches,42130443
41,Danny Ward,wls WAL,GK,Leicester City,28,1993,1,1,0,0,1,0,1.3,0.26,+0.3,+0.30,3,7,42.9,27,8,22.2,30.2,7,14.3,27,11,3,27.3,0,0,14.7,Matches,d3ce0e89
42,Freddie Woodman,eng ENG,GK,Newcastle Utd,24,1997,4,12,2,0,0,0,8.7,0.35,-3.3,-0.83,22,71,31,80,11,53.8,43.3,43,65.1,52,33,2,6.1,0,0,11.6,Matches,19e50035
