,Player,Squad,90s,Cmp,Att,Cmp%
280,Rodrigo Bentancur,Tottenham,15.1,905,1015,89.2
281,Rodrigo Bentancur,Juventus,12.8,660,756,87.3
282,Christian Benteke,Crystal Palace,12.7,205,300,68.3
283,Karim Benzema,Real Madrid,28.8,1058,1249,84.7
284,Alessandro Berardi,Hellas Verona,1.0,14,30,46.7
285,Domenico Berardi,Sassuolo,31.3,1017,1416,71.8
286,Yuri Berchiche,Athletic Club,11.3,509,641,79.4
287,Álex Berenguer,Athletic Club,24.1,559,867,64.5
288,Bartosz Bereszyński,Sampdoria,32.7,1285,1645,78.1
289,Jóhann Berg Guðmundsson,Burnley,12.2,218,345,63.2
290,Patrick Berg,Lens,3.4,176,210,83.8
291,Mitchell van Bergen,Reims,10.9,149,230,64.8
292,Steven Bergwijn,Tottenham,6.3,148,178,83.1
293,Etrit Berisha,Torino,10.0,169,320,52.8
294,Valon Berisha,Reims,5.1,128,185,69.2
295,Federico Bernardeschi,Juventus,16.4,460,599,76.8
296,Paul Bernardoni,Saint-Étienne,19.0,332,578,57.4
297,Paul Bernardoni,Angers,13.0,263,337,78.0
298,Juan Bernat,Paris S-G,10.6,648,701,92.4
299,Dimitry Bertaud,Montpellier,9.3,221,312,70.8
300,Jason Berthomier,Clermont Foot,19.2,1140,1396,81.7
301,Nicolò Bertola,Spezia,0.4,9,14,64.3
302,Ryan Bertrand,Leicester City,3.7,154,191,80.6
303,Daniel Bessa,Hellas Verona,8.5,389,482,80.7
304,Beto,Udinese,24.1,267,375,71.2
305,Louis Beyer,M'Gladbach,15.4,833,933,89.3
306,Bartosz Bialek,Wolfsburg,2.0,25,44,56.8
307,Giulian Biancone,Troyes,25.5,970,1297,74.8
308,Ermin Bičakčić,Hoffenheim,0.1,3,3,100.0
309,Mads Bidstrup,Brentford,0.5,8,11,72.7
310,Pedro Bigas,Elche,17.2,812,937,86.7
311,El Bilal Touré,Reims,13.3,246,333,73.9
312,Jean-Claude Billong,Clermont Foot,10.9,419,483,86.7
313,Luis Binks,Bologna,7.2,271,324,83.6
314,Cristiano Biraghi,Fiorentina,35.0,2084,2585,80.6
315,Davide Biraschi,Genoa,10.3,317,432,73.4
316,Tom Bischof,Hoffenheim,0.2,5,8,62.5
317,Yves Bissouma,Brighton,23.5,1061,1183,89.7
318,Nathan Bitu Mazala,Paris S-G,0.1,10,10,100.0
319,Marco Bizot,Brest,38.0,833,1201,69.4
320,Bjarki Bjarkason,Venezia,0.0,1,2,50.0
321,Blanco,Real Madrid,0.3,17,18,94.4
322,Ludovic Blas,Nantes,32.9,837,1052,79.6
323,Danny Blum,Bochum,3.8,114,179,63.7
324,Myron Boadu,Monaco,10.7,134,166,80.7
325,Jérôme Boateng,Lyon,18.0,980,1110,88.3
326,Kevin-Prince Boateng,Hertha BSC,7.7,253,326,77.6
327,Antonin Bobichon,Angers,0.4,16,20,80.0
328,Herbert Bockhorn,Bochum,9.4,265,364,72.8
329,Jean-Paul Boëtius,Mainz 05,20.0,698,938,74.4
330,Jeremie Boga,Atalanta,8.5,343,426,80.5
331,Jeremie Boga,Sassuolo,7.4,221,271,81.5
332,Luka Bogdan,Salernitana,4.4,88,123,71.5
333,Emil Bohinen,Salernitana,7.8,240,296,81.1
334,Quentin Boisgard,Lorient,10.6,285,396,72.0
335,Charles Boli,Lens,0.4,17,21,81.0
336,Willy Boly,Wolves,10.0,450,541,83.2
337,Giacomo Bonaventura,Fiorentina,25.2,1011,1214,83.3
338,Federico Bonazzoli,Salernitana,20.7,415,554,74.9
339,Tarsis Bonga,Bochum,0.2,4,8,50.0
340,Kevin Bonifazi,Bologna,13.4,556,673,82.6
341,Solomon Bonnah,RB Leipzig,0.1,4,4,100.0
342,Leonardo Bonucci,Juventus,22.3,1107,1280,86.5
343,Sebastiaan Bornauw,Wolfsburg,22.3,1004,1164,86.3
344,Rafael Borré,Eint Frankfurt,26.4,517,709,72.9
345,Sven Botman,Lille,25.0,1330,1492,89.1
346,Denis Bouanga,Saint-Étienne,27.1,554,801,69.2
347,Hicham Boudaoui,Nice,18.0,504,662,76.1
348,Ryad Boudebouz,Saint-Étienne,25.0,1222,1553,78.7
349,Sofiane Boufal,Angers,25.9,775,1023,75.8
350,Farid Boulaya,Metz,17.0,490,738,66.4
351,Yassine Bounou,Sevilla,31.0,811,1072,75.7
352,Ismaëlben Boura,Lens,1.1,60,72,83.3
353,Mehdi Bourabia,Spezia,3.1,93,116,80.2
354,Benjamin Bourigeaud,Rennes,35.5,1378,1890,72.9
355,Redwan Bourles,Lorient,0.2,3,5,60.0
356,Edoardo Bove,Roma,0.8,31,36,86.1
357,Jarrod Bowen,West Ham,33.1,586,862,68.0
358,Dedryck Boyata,Hertha BSC,21.1,685,798,85.8
359,Lucas Boyé,Elche,19.0,326,445,73.3
360,Domagoj Bradarić,Lille,4.6,217,289,75.1
361,Bilal Brahimi,Angers,3.8,71,98,72.4
362,Bilal Brahimi,Nice,4.2,129,184,70.1
363,Martin Braithwaite,Barcelona,2.6,46,57,80.7
364,Julian Brandt,Dortmund,23.1,1043,1330,78.4
365,Jarrad Branthwaite,Everton,4.3,85,116,73.3
366,Darko Brašanac,Osasuna,26.7,689,917,75.1
367,Lilian Brassier,Brest,25.1,1016,1248,81.4
368,Claudio Bravo,Betis,16.2,325,507,64.1
369,Iker Bravo,Leverkusen,0.1,0,0,
370,Fabian Bredlow,Stuttgart,4.0,115,127,90.6
371,Josip Brekalo,Wolfsburg,0.2,13,18,72.2
372,Josip Brekalo,Torino,25.4,846,1179,71.8
373,Gleison Bremer,Torino,32.1,1194,1403,85.1
374,Jimmy Briand,Bordeaux,2.5,66,76,86.8
375,Yan Brice Eteki,Granada,3.8,99,130,76.2
376,Brian Brobbey,RB Leipzig,1.5,32,38,84.2
377,Armando Broja,Southampton,21.9,250,404,61.9
378,Dylan Bronn,Metz,28.3,958,1161,82.5
379,John Brooks,Wolfsburg,29.1,1451,1696,85.6
380,Daniel Brosinski,Mainz 05,4.3,155,242,64.0
381,Josh Brownhill,Burnley,32.8,900,1191,75.6
382,Marcelo Brozović,Inter,32.6,2375,2594,91.6
383,Cédric Brunner,Arminia,24.3,768,1147,67.0
384,Lewis Brunt,Leicester City,0.3,21,21,100.0
385,Jacob Bruun Larsen,Hoffenheim,9.0,222,297,74.7
386,Bryan,Tottenham,1.0,49,63,77.8
387,Bryan,Valencia,8.4,156,243,64.2
388,Ante Budimir,Osasuna,19.3,225,362,62.2
389,Emi Buendía,Aston Villa,21.1,697,876,79.6
390,Osman Bukari,Nantes,11.2,239,319,74.9
391,Aleksander Buksa,Genoa,0.7,6,15,40.0
392,Marcin Bułka,Nice,1.0,21,23,91.3
393,Alessandro Buongiorno,Torino,13.1,442,545,81.1
394,Sascha Burchert,Greuther Fürth,14.0,331,555,59.6
395,Delano Burgzorg,Mainz 05,0.3,4,4,100.0
396,Jonathan Burkardt,Mainz 05,29.0,423,603,70.1
397,Roman Bürki,Dortmund,1.0,16,23,69.6
398,Dan Burn,Newcastle Utd,16.0,460,574,80.1
399,Dan Burn,Brighton,11.4,507,624,81.3
400,Maxime Busi,Reims,14.4,541,699,77.4
401,Gianluca Busio,Venezia,21.7,749,904,82.9
402,Oriol Busquets,Clermont Foot,2.2,115,128,89.8
403,Sergio Busquets,Barcelona,35.5,2462,2799,88.0
404,Jack Butland,Crystal Palace,8.5,205,279,73.5
405,Adrián Butzke,Granada,0.0,0,1,0.0
406,Jamie Bynoe-Gittens,Dortmund,1.5,31,44,70.5
407,Sam Byram,Norwich City,11.4,380,486,78.2
408,Erick Cabaco,Getafe,4.5,114,162,70.4
409,Willy Caballero,Southampton,2.0,39,59,66.1
410,Rémy Cabella,Montpellier,3.5,178,213,83.6
411,Jimmy Cabot,Angers,22.3,1089,1372,79.4
412,Jovane Cabral,Lazio,2.1,32,36,88.9
413,Leandro Cabrera,Espanyol,37.0,1405,1850,75.9
414,Liberato Cacace,Empoli,5.2,196,237,82.7
415,Martín Cáceres,Levante,7.4,298,363,82.1
416,Martín Cáceres,Cagliari,9.2,318,458,69.4
417,Anthony Caci,Strasbourg,26.6,1293,1628,79.4
418,Mathieu Cafaro,Reims,2.1,41,79,51.9
419,Yannick Cahuzac,Lens,6.9,220,254,86.6
420,Felipe Caicedo,Inter,0.3,3,8,37.5
421,Felipe Caicedo,Genoa,3.2,54,79,68.4
422,Moisés Caicedo,Brighton,7.3,224,274,81.8
423,Marc-Aurèle Caillard,Metz,17.1,275,461,59.7
424,Jens Cajuste,Reims,4.0,74,99,74.7
425,Cala,Cádiz,10.5,218,298,73.2
426,Davide Calabria,Milan,23.5,965,1267,76.2
427,Riccardo Calafiori,Roma,1.9,67,83,80.7
428,Riccardo Calafiori,Genoa,0.9,11,20,55.0
429,Mattia Caldara,Venezia,30.0,938,1153,81.4
430,Calderón,Betis,0.7,43,47,91.5
431,Fernando Calero,Espanyol,12.1,529,627,84.4
432,Duje Ćaleta-Car,Marseille,22.9,1667,1806,92.3
433,Hakan Çalhanoğlu,Inter,27.6,1492,1823,81.8
434,Daniel Caligiuri,Augsburg,22.3,641,928,69.1
435,José Callejón,Fiorentina,14.4,486,619,78.5
436,Lucas Calodat,Saint-Étienne,0.0,2,2,100.0
437,Dominic Calvert-Lewin,Everton,14.3,180,292,61.6
438,Mahdi Camara,Saint-Étienne,34.1,1279,1520,84.1
439,Mamadou Camara,Troyes,0.4,10,12,83.3
440,Víctor Camarasa,Betis,1.2,47,55,85.5
441,Eduardo Camavinga,Rennes,1.6,68,75,90.7
442,Eduardo Camavinga,Real Madrid,13.7,758,841,90.1
443,Andrea Cambiaso,Genoa,19.9,709,909,78.0
444,José Campaña,Levante,15.8,714,882,81.0
445,Chem Campbell,Wolves,0.1,9,10,90.0
446,Emre Can,Dortmund,18.8,1212,1423,85.2
447,Sergio Canales,Betis,31.0,1551,1867,83.1
448,Matteo Cancellieri,Hellas Verona,2.5,47,68,69.1
449,João Cancelo,Manchester City,35.9,2752,3282,83.9
450,Fali Candé,Metz,10.8,358,499,71.7
451,Antonio Candreva,Sampdoria,34.7,1293,1935,66.8
452,Sergi Canós,Brentford,23.1,452,748,60.4
453,Álex Cantero,Levante,6.8,93,133,69.9
454,Todd Cantwell,Norwich City,4.9,127,154,82.5
455,Ander Capa,Athletic Club,0.0,1,2,50.0
456,Pierrick Capelle,Angers,13.3,463,561,82.5
457,Leonardo Capezzi,Salernitana,1.9,41,48,85.4
458,Étienne Capoue,Villarreal,25.4,1178,1335,88.2
459,Gianluca Caprari,Hellas Verona,30.4,965,1272,75.9
460,Francesco Caputo,Sampdoria,31.0,456,606,75.2
461,Francesco Caputo,Sassuolo,1.7,28,35,80.0
462,Maxence Caqueret,Lyon,25.9,1345,1551,86.7
463,Andrea Carboni,Cagliari,24.6,811,1076,75.4
464,Isaac Carcelen,Cádiz,17.2,557,740,75.3
465,Cárdenas,Levante,24.0,488,719,67.9
466,Irvin Cardona,Brest,14.8,211,315,67.0
467,Igor Carioca,Lorient,17.5,595,778,76.5
468,Carlo,Villarreal,0.1,4,4,100.0
469,Diego Carlos,Sevilla,32.9,1892,2141,88.4
470,Carmona,Sevilla,0.3,6,12,50.0
471,Yannick Carrasco,Atlético Madrid,28.7,977,1284,76.1
472,Guido Carrillo,Elche,13.0,224,319,70.2
473,Dani Carvajal,Real Madrid,17.2,1040,1205,86.3
474,William Carvalho,Betis,20.1,1164,1319,88.2
475,Nicolò Casale,Hellas Verona,28.7,966,1182,81.7
476,Casemiro,Real Madrid,28.5,1714,1983,86.4
477,Matty Cash,Aston Villa,37.5,1120,1586,70.6
478,Kiko Casilla,Elche,14.0,320,481,66.5
479,Moreto Cassamã,Reims,8.9,356,434,82.0
480,Francesco Cassata,Genoa,0.1,1,1,100.0
481,Timothy Castagne,Leicester City,23.6,1068,1292,82.7
482,Koen Casteels,Wolfsburg,28.0,847,1082,78.3
483,Jean-Charles Castelletto,Nantes,27.9,1050,1201,87.4
484,Samu Castillejo,Milan,1.4,56,68,82.4
485,Gonzalo Castro,Arminia,4.8,113,173,65.3
486,Jonny Castro,Wolves,11.4,506,600,84.3
487,Gaetano Castrovilli,Fiorentina,15.5,410,551,74.4
488,Danilo Cataldi,Lazio,19.0,1192,1388,85.9
489,Catena,Rayo Vallecano,36.0,1383,1672,82.7
490,Craig Cathcart,Watford,26.6,742,917,80.9
491,Edinson Cavani,Manchester Utd,8.5,180,225,80.0
492,Dani Ceballos,Real Madrid,3.1,238,263,90.5
493,Pietro Ceccaroni,Venezia,34.7,1415,1703,83.1
494,Federico Ceccherini,Hellas Verona,26.2,983,1215,80.9
495,Emil Ceide,Sassuolo,0.6,13,25,52.0
496,Zeki Çelik,Lille,30.0,1424,1777,80.1
497,Fabien Centonze,Metz,17.6,621,772,80.4
498,Luca Ceppitelli,Cagliari,16.1,670,800,83.8
499,Franco Cervi,Celta Vigo,20.0,576,763,75.5
500,Leonardo César Jardim,Lille,17.0,279,435,64.1
501,Damir Ceter,Cagliari,0.1,1,2,50.0
502,Julian Chabot,Sampdoria,5.4,202,245,82.4
503,Julian Chabot,Köln,2.3,120,150,80.0
504,El Chadaille Bitshiabu,Paris S-G,0.1,6,6,100.0
505,Nassim Chadli,Troyes,1.1,27,43,62.8
506,Kayky Chagas,Manchester City,0.1,2,2,100.0
507,Mehdi Chahiri,Strasbourg,0.2,3,7,42.9
508,Trevoh Chalobah,Chelsea,16.1,1138,1239,91.8
509,Calum Chambers,Aston Villa,9.2,384,460,83.5
510,Calum Chambers,Arsenal,1.9,81,98,82.7
511,Dylan Chambost,Troyes,8.4,375,466,80.5
512,Timothy Chandler,Eint Frankfurt,13.5,372,564,66.0
513,Chapela,Cádiz,4.4,56,90,62.2
514,Brendan Chardonnet,Brest,29.8,1044,1248,83.7
515,Xavier Chavalerin,Reims,2.4,80,98,81.6
516,Xavier Chavalerin,Troyes,30.2,795,1046,76.0
517,Justin Che,Hoffenheim,0.5,23,27,85.2
518,Chema,Getafe,0.5,9,15,60.0
519,Rayan Cherki,Lyon,4.9,197,258,76.4
520,Denis Cheryshev,Valencia,6.3,108,169,63.9
521,Daniel Chesters,West Ham,0.0,0,0,
522,Giorgio Chiellini,Juventus,15.0,780,923,84.5
523,Federico Chiesa,Juventus,9.6,219,284,77.1
524,Ben Chilwell,Chelsea,6.0,265,344,77.0
525,Chiquinho,Wolves,2.3,72,108,66.7
526,Vlad Chiricheș,Sassuolo,25.6,1227,1339,91.6
527,Pedro Chirivella,Nantes,29.3,1461,1724,84.7
528,Joris Chotard,Montpellier,32.6,1111,1310,84.8
529,Hamza Choudhury,Leicester City,3.2,129,158,81.6
530,Andreas Christensen,Chelsea,16.6,1166,1276,91.4
531,Max Christiansen,Greuther Fürth,22.8,753,919,81.9
532,Carney Chukwuemeka,Aston Villa,3.3,98,120,81.7
533,Samuel Chukwueze,Villarreal,14.8,344,473,72.7
534,Víctor Chust,Cádiz,20.3,699,806,86.7
535,Riccardo Ciervo,Sampdoria,2.5,52,73,71.2
536,Jasper Cillessen,Valencia,16.2,292,446,65.5
537,Pathé Ciss,Rayo Vallecano,12.2,447,535,83.6
538,Moustapha Cissé,Atalanta,0.4,7,11,63.6
539,Giorgio Cittadini,Atalanta,0.0,1,2,50.0
540,Ciaran Clark,Newcastle Utd,11.3,275,347,79.3
541,Alexis Claude-Maurice,Nice,2.3,88,100,88.0
542,Jonathan Clauss,Lens,33.8,1281,1901,67.4
543,Carlos Clerc,Levante,16.8,673,873,77.1
544,Tom Cleverley,Watford,18.0,461,626,73.6
545,Nathaniel Clyne,Crystal Palace,15.0,563,718,78.4
546,Conor Coady,Wolves,37.3,1471,1632,90.1
547,Marcus Coco,Nantes,10.3,232,331,70.1
548,Coke,Levante,1.3,56,67,83.6
549,Séamus Coleman,Everton,29.5,913,1237,73.8
550,Álex Collado,Granada,11.3,280,374,74.9
551,Ebrima Colley,Spezia,4.4,87,127,68.5
552,Omar Colley,Sampdoria,30.5,1200,1425,84.2
553,Nathan Collins,Burnley,18.6,463,642,72.1
554,Kingsley Coman,Bayern Munich,15.1,561,716,78.4
555,Eray Cömert,Valencia,4.5,158,190,83.2
556,Santi Comesaña,Rayo Vallecano,29.8,1241,1488,83.4
557,Diego Conde,Getafe,0.1,0,6,0.0
558,Aaron Connolly,Brighton,1.7,15,18,83.3
559,Andrea Consigli,Sassuolo,36.9,1146,1466,78.2
560,Abdu Conté,Troyes,15.0,454,615,73.8
561,Andrea Conti,Sampdoria,2.6,61,78,78.2
562,Andrea Conti,Milan,0.1,4,5,80.0
563,Liam Cooper,Leeds United,20.2,957,1122,85.3
564,Lucas Copado,Bayern Munich,0.2,4,6,66.7
565,Diego Coppola,Hellas Verona,2.8,76,95,80.0
566,Francis Coquelin,Villarreal,9.2,424,480,88.3
567,Sébastien Corchia,Nantes,14.7,374,560,66.8
568,Sergio Córdova,Augsburg,3.6,36,56,64.3
569,Jack Cork,Burnley,18.6,432,573,75.4
570,Maxwel Cornet,Lyon,0.7,33,40,82.5
571,Maxwel Cornet,Burnley,19.6,285,434,65.7
572,Jesús Corona,Sevilla,12.9,476,612,77.8
573,Ángel Correa,Atlético Madrid,20.6,483,655,73.7
574,Joaquín Correa,Inter,11.4,286,343,83.4
575,Thierry Correia,Valencia,15.7,450,648,69.4
576,Danny da Costa,Eint Frankfurt,8.1,216,315,68.6
577,David Pereira da Costa,Lens,16.3,665,798,83.3
578,Hélder Costa,Leeds United,0.2,4,4,100.0
579,Hélder Costa,Valencia,12.4,188,293,64.2
580,Jaume Costa,Mallorca,20.3,734,1001,73.3
581,Benoît Costil,Bordeaux,25.0,623,899,69.3
582,Vladimír Coufal,West Ham,24.5,982,1417,69.3
583,Kalifa Coulibaly,Nantes,9.4,119,202,58.9
584,Lassana Coulibaly,Salernitana,25.9,700,856,81.8
585,Mamadou Coulibaly,Salernitana,9.0,254,333,76.3
586,Tanguy Coulibaly,Stuttgart,12.0,259,340,76.2
587,Thibaut Courtois,Real Madrid,36.0,936,1139,82.2
588,Philippe Coutinho,Aston Villa,14.8,527,641,82.2
589,Philippe Coutinho,Barcelona,5.6,275,328,83.8
590,Nicolas Cozza,Montpellier,30.8,1133,1380,82.1
591,Alessio Cragno,Cagliari,35.0,755,1214,62.2
592,Aaron Cresswell,West Ham,30.3,1641,2047,80.2
593,Charlie Cresswell,Leeds United,1.6,72,96,75.0
594,Domenico Criscito,Genoa,18.0,791,1005,78.7
595,Bryan Cristante,Roma,29.8,1478,1794,82.4
596,Cristo,Real Sociedad,0.2,11,12,91.7
597,Enzo Crivelli,Saint-Étienne,1.1,17,23,73.9
598,Domen Črnigoj,Venezia,20.9,499,670,74.5
599,Giovanni Crociata,Empoli,0.2,7,9,77.8
600,Juan Cruz Armada,Osasuna,21.5,786,951,82.6
601,Juan Cuadrado,Juventus,27.6,1589,1868,85.1
602,Cucho,Watford,12.7,254,394,64.5
603,Marc Cucurella,Getafe,0.3,15,21,71.4
604,Marc Cucurella,Brighton,34.3,1895,2322,81.6
605,Jorge Cuenca,Getafe,29.8,747,1070,69.8
606,Mickaël Cuisance,Venezia,10.2,285,367,77.7
607,Mickaël Cuisance,Bayern Munich,0.1,10,11,90.9
608,Luke Cundle,Wolves,2.0,96,106,90.6
609,Matheus Cunha,Hertha BSC,0.7,12,13,92.3
610,Matheus Cunha,Atlético Madrid,11.8,167,233,71.7
611,Patrick Cutrone,Empoli,15.6,172,253,68.0
612,Wylan Cyprien,Nantes,16.6,731,906,80.7
613,Rafael Czichos,Köln,15.6,873,1042,83.8
614,Lennart-Marten Czyborra,Arminia,1.5,29,57,50.9
615,Danilo D'Ambrosio,Inter,11.1,654,737,88.7
616,Lucas Da Cunha,Nice,4.4,122,167,73.1
617,Lucas Da Cunha,Clermont Foot,9.3,279,334,83.5
618,Damien Da Silva,Lyon,12.5,788,883,89.2
619,Moanes Dabbur,Hoffenheim,14.6,361,482,74.9
620,Colin Dagba,Paris S-G,1.8,128,140,91.4
621,Finn Dahmen,Mainz 05,2.0,63,80,78.8
622,Mahmoud Dahoud,Dortmund,18.4,847,1069,79.2
623,Patson Daka,Leicester City,12.9,172,223,77.1
624,Stuart Dallas,Leeds United,32.4,1313,1667,78.8
625,Diogo Dalot,Manchester Utd,20.0,934,1171,79.8
626,Mikkel Damsgaard,Sampdoria,6.4,203,268,75.7
627,Flavius Daniliuc,Nice,14.4,773,864,89.5
628,Danilo,Juventus,21.0,1262,1450,87.0
629,Kevin Danso,Lens,31.0,1620,1839,88.1
630,Dante,Nice,31.9,2146,2366,90.7
631,Ebrima Darboe,Roma,0.7,38,40,95.0
632,Márton Dárdai,Hertha BSC,8.4,268,371,72.2
633,Sergi Darder,Espanyol,34.7,1442,1746,82.6
634,Vladimír Darida,Hertha BSC,19.8,689,957,72.0
635,Karl Darlow,Newcastle Utd,8.0,152,253,60.1
636,Matteo Darmian,Inter,16.7,563,701,80.3
637,Josh Dasilva,Brentford,2.9,71,88,80.7
638,Jonathan David,Lille,31.2,527,668,78.9
639,Alphonso Davies,Bayern Munich,19.3,1123,1335,84.1
640,Ben Davies,Tottenham,28.2,1375,1600,85.9
641,Tom Davies,Everton,2.6,60,79,75.9
642,Keinan Davis,Aston Villa,0.1,3,3,100.0
643,Paweł Dawidowicz,Hellas Verona,13.3,526,610,86.2
644,Craig Dawson,West Ham,30.6,1015,1234,82.3
645,Kevin De Bruyne,Manchester City,24.5,1172,1553,75.5
646,Konrad De La Fuente,Marseille,8.7,188,239,78.7
647,Sebastien De Maio,Udinese,2.0,53,75,70.7
648,Tommaso De Nipoti,Atalanta,0.1,1,2,50.0
649,Rodrigo De Paul,Atlético Madrid,23.9,1125,1420,79.2
650,Mattia De Sciglio,Juventus,13.0,543,668,81.3
651,Lorenzo De Silvestri,Bologna,25.5,999,1346,74.2
652,Saulo Decarli,Bochum,0.1,6,6,100.0
653,Troy Deeney,Watford,0.3,3,6,50.0
654,Grégoire Defrel,Sassuolo,15.1,341,399,85.5
655,Alessandro Deiola,Cagliari,23.7,600,771,77.8
656,Romain Del Castillo,Rennes,0.3,11,15,73.3
657,Romain Del Castillo,Brest,10.8,324,437,74.1
658,Thomas Delaine,Metz,25.7,867,1166,74.4
659,Thomas Delaney,Dortmund,0.2,11,15,73.3
660,Thomas Delaney,Sevilla,17.2,632,801,78.9
661,Liam Delap,Manchester City,0.1,1,1,100.0
662,Sacha Delaye,Montpellier,2.9,68,90,75.6
663,Filippo Delli Carri,Salernitana,3.7,86,120,71.7
664,Andy Delort,Nice,27.2,420,685,61.3
665,Andy Delort,Montpellier,3.0,56,96,58.3
666,Fabian Delph,Everton,7.4,263,308,85.4
667,Moussa Dembélé,Lyon,24.5,308,443,69.5
668,Ousmane Dembélé,Barcelona,15.7,609,822,74.1
669,Yusuf Demir,Barcelona,2.1,77,85,90.6
670,Merih Demiral,Atalanta,21.3,703,805,87.3
671,Kerem Demirbay,Leverkusen,22.8,1071,1400,76.5
672,Ermedin Demirović,Freiburg,9.7,113,175,64.6
673,Diego Demme,Napoli,7.7,541,600,90.2
674,Jason Denayer,Lyon,11.1,698,739,94.5
675,Leander Dendoncker,Wolves,21.7,709,812,87.3
676,Emmanuel Dennis,Watford,28.7,431,633,68.1
677,Fabio Depaoli,Sampdoria,1.2,22,33,66.7
678,Fabio Depaoli,Hellas Verona,7.8,183,290,63.1
679,Memphis Depay,Barcelona,20.6,725,965,75.1
680,Mike van der Hoorn,Arminia,0.2,3,4,75.0
681,Arthur Desmas,Clermont Foot,14.5,297,414,71.7
682,Sergiño Dest,Barcelona,16.8,880,1000,88.0
683,Mattia Destro,Genoa,19.4,210,347,60.5
684,Gerard Deulofeu,Udinese,29.1,772,1106,69.8
685,Kiernan Dewsbury-Hall,Leicester City,23.4,941,1220,77.1
686,Jacopo Dezi,Venezia,0.2,22,26,84.6
687,Samuel Di Carmine,Hellas Verona,0.4,5,5,100.0
688,Federico Di Francesco,Empoli,15.2,258,385,67.0
689,Giovanni Di Lorenzo,Napoli,31.9,2032,2309,88.0
690,Ángel Di María,Paris S-G,18.3,895,1179,75.9
691,Francesco Di Mariano,Venezia,0.7,11,14,78.6
692,Francesco Di Tacchio,Salernitana,13.9,433,536,80.8
693,Boulaye Dia,Villarreal,14.1,195,257,75.9
694,Moussa Diaby,Leverkusen,30.7,759,1017,74.6
695,Yadaly Diaby,Clermont Foot,0.7,12,20,60.0
696,Mouctar Diakhaby,Valencia,21.6,542,700,77.4
697,Ibrahim Diakité,Reims,0.0,1,3,33.3
698,Abdou Diallo,Paris S-G,9.7,625,699,89.4
699,Habib Diallo,Strasbourg,17.1,267,373,71.6
700,Ibrahima Diallo,Southampton,11.4,357,438,81.5
701,Mouhamadou Diarra,Strasbourg,1.2,51,59,86.4
702,Stéphane Diarra,Lorient,5.8,142,198,71.7
703,Rúben Dias,Manchester City,26.7,2097,2224,94.3
704,Krepin Diatta,Monaco,3.2,83,106,78.3
705,Amadou Diawara,Roma,1.9,55,70,78.6
706,Brahim Díaz,Milan,20.6,616,730,84.4
707,Javier Díaz,Sevilla,1.0,28,33,84.8
708,Luis Díaz,Liverpool,10.6,394,448,87.9
709,Víctor Díaz,Granada,16.7,526,693,75.9
710,Daniel Didavi,Stuttgart,3.1,80,114,70.2
711,Bamba Dieng,Marseille,10.8,145,197,73.6
712,Eric Dier,Tottenham,34.1,1968,2224,88.5
713,Elhadji Dieye,Saint-Étienne,0.4,4,9,44.4
714,Lucas Digne,Everton,13.0,487,678,71.8
715,Lucas Digne,Aston Villa,14.1,632,823,76.8
716,Mitchell Dijks,Bologna,7.7,265,346,76.6
717,Javairô Dilrosun,Bordeaux,19.2,447,602,74.3
718,Javairô Dilrosun,Hertha BSC,1.5,26,34,76.5
719,Federico Dimarco,Inter,15.9,996,1212,82.2
720,Landry Dimata,Espanyol,6.0,71,99,71.7
721,Stole Dimitrievski,Rayo Vallecano,30.8,538,955,56.3
722,Junior Dina Ebimbe,Paris S-G,3.5,192,213,90.1
723,Tristan Dingomé,Troyes,12.0,403,536,75.2
724,Sinaly Diomande,Lyon,6.4,440,468,94.0
725,Issa Diop,West Ham,10.7,404,469,86.1
726,Sofiane Diop,Monaco,21.6,725,981,73.9
727,Andy Diouf,Rennes,0.2,7,9,77.8
728,Assane Dioussé,Saint-Étienne,0.3,34,37,91.9
729,Axel Disasi,Monaco,30.2,1536,1741,88.2
730,Filippo Distefano,Fiorentina,0.0,2,2,100.0
731,Matías Dituro,Celta Vigo,38.0,926,1460,63.4
732,Tiago Djaló,Lille,25.9,1331,1516,87.8
733,Djené,Getafe,34.6,1035,1331,77.8
734,Moussa Djenepo,Southampton,5.1,111,149,74.5
735,Koffi Djidji,Torino,19.3,700,828,84.5
736,Alexander Djiku,Strasbourg,29.9,1369,1614,84.8
737,Bryan Djile Nokoué,Saint-Étienne,0.6,22,29,75.9
738,Berat Djimsiti,Atalanta,25.1,1213,1427,85.0
739,Ouparine Djoco,Clermont Foot,23.5,493,734,67.2
740,Naïs Djouahra,Real Sociedad,2.4,70,98,71.4
741,Marko Dmitrović,Sevilla,6.0,187,224,83.5
742,Lewis Dobbin,Everton,0.4,4,7,57.1
743,Matt Doherty,Tottenham,9.7,440,538,81.8
744,Jeremy Doku,Rennes,5.2,121,165,73.3
745,Kasper Dolberg,Nice,16.6,175,243,72.0
746,Jaume Doménech,Valencia,3.8,66,107,61.7
747,Brandon Domingues,Troyes,2.6,69,92,75.0
748,Carlos Dominguez,Celta Vigo,3.8,130,166,78.3
749,Mario Dominguez,Valencia,0.3,2,3,66.7
750,Nicolás Domínguez,Bologna,22.4,982,1196,82.1
751,John Donald,Elche,2.0,78,89,87.6
752,Lee Dongjun,Hertha BSC,1.3,13,18,72.2
