,Player▲,Squad,90s,Gls,Ast,G+A,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90
390,Osman Bukari,Nantes,11.2,2,4,0.53,1.8,1.8,2.3,4.0,0.16,0.2,0.36,0.16,0.36
391,Aleksander Buksa,Genoa,0.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,Marcin Bułka,Nice,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,Alessandro Buongiorno,Torino,13.1,0,1,0.08,0.5,0.5,0.7,1.2,0.04,0.05,0.09,0.04,0.09
394,Sascha Burchert,Greuther Fürth,14.0,0,0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01
395,Delano Burgzorg,Mainz 05,0.3,1,0,3.33,0.2,0.2,0.0,0.2,0.73,0.0,0.73,0.73,0.73
396,Jonathan Burkardt,Mainz 05,29.0,11,3,0.48,13.9,13.2,3.2,16.4,0.48,0.11,0.59,0.45,0.56
397,Roman Bürki,Dortmund,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,Dan Burn,Brighton,11.4,1,0,0.09,1.3,1.3,0.0,1.3,0.11,0.0,0.11,0.11,0.11
399,Dan Burn,Newcastle Utd,16.0,0,1,0.06,0.5,0.5,0.1,0.6,0.03,0.01,0.04,0.03,0.04
400,Maxime Busi,Reims,14.4,1,0,0.07,0.3,0.3,1.2,1.5,0.02,0.08,0.11,0.02,0.11
401,Gianluca Busio,Venezia,21.7,1,1,0.09,1.0,1.0,1.7,2.7,0.05,0.08,0.12,0.05,0.12
402,Oriol Busquets,Clermont Foot,2.2,0,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
403,Sergio Busquets,Barcelona,35.5,2,0,0.06,0.7,0.7,1.9,2.6,0.02,0.05,0.07,0.02,0.07
404,Jack Butland,Crystal Palace,8.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,Adrián Butzke,Granada,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,Jamie Bynoe-Gittens,Dortmund,1.5,0,0,0.0,0.5,0.5,0.2,0.6,0.32,0.1,0.42,0.32,0.42
407,Sam Byram,Norwich City,11.4,0,0,0.0,0.9,0.9,0.2,1.1,0.08,0.02,0.1,0.08,0.1
408,Erick Cabaco,Getafe,4.5,0,1,0.22,0.4,0.4,0.4,0.8,0.09,0.08,0.17,0.09,0.17
409,Willy Caballero,Southampton,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,Rémy Cabella,Montpellier,3.5,0,0,0.0,0.3,0.3,1.0,1.3,0.09,0.28,0.37,0.09,0.37
411,Jimmy Cabot,Angers,22.3,0,5,0.22,0.6,0.6,2.4,3.0,0.03,0.11,0.14,0.03,0.14
412,Jovane Cabral,Lazio,2.1,1,0,0.47,0.9,0.9,0.5,1.4,0.43,0.22,0.65,0.43,0.65
