,Player▲,Squad,90s,Gls,Ast,G+A,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90
563,Liam Cooper,Leeds United,20.2,0,1,0.05,0.3,0.3,0.1,0.4,0.02,0.0,0.02,0.02,0.02
564,Lucas Copado,Bayern Munich,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23
565,Diego Coppola,Hellas Verona,2.8,0,0,0.0,0.1,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02
566,Francis Coquelin,Villarreal,9.2,2,1,0.33,0.3,0.3,0.7,0.9,0.03,0.07,0.1,0.03,0.1
567,Sébastien Corchia,Nantes,14.7,0,3,0.2,0.4,0.4,0.6,1.0,0.03,0.04,0.07,0.03,0.07
568,Sergio Córdova,Augsburg,3.6,0,0,0.0,0.9,0.9,0.1,1.0,0.23,0.04,0.27,0.23,0.27
569,Jack Cork,Burnley,18.6,1,0,0.05,0.8,0.8,0.1,0.9,0.04,0.01,0.05,0.04,0.05
570,Maxwel Cornet,Lyon,0.7,0,0,0.0,0.0,0.0,0.1,0.1,0.0,0.09,0.09,0.0,0.09
571,Maxwel Cornet,Burnley,19.6,9,1,0.51,6.7,5.9,1.5,7.4,0.34,0.07,0.42,0.3,0.38
572,Jesús Corona,Sevilla,12.9,2,4,0.47,1.7,1.7,3.3,5.0,0.13,0.26,0.39,0.13,0.39
573,Ángel Correa,Atlético Madrid,20.6,12,5,0.82,6.8,6.8,3.5,10.2,0.33,0.17,0.5,0.33,0.5
574,Joaquín Correa,Inter,11.4,6,1,0.61,4.8,4.8,2.0,6.7,0.42,0.17,0.59,0.42,0.59
575,Thierry Correia,Valencia,15.7,0,1,0.06,0.3,0.3,0.9,1.1,0.02,0.05,0.07,0.02,0.07
576,Danny da Costa,Eint Frankfurt,8.1,0,0,0.0,0.1,0.1,0.2,0.3,0.01,0.02,0.03,0.01,0.03
577,David Pereira da Costa,Lens,16.3,3,5,0.49,2.5,2.5,3.6,6.2,0.16,0.22,0.38,0.16,0.38
578,Hélder Costa,Leeds United,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11
579,Hélder Costa,Valencia,12.4,0,1,0.08,0.3,0.3,1.7,2.0,0.03,0.14,0.16,0.03,0.16
580,Jaume Costa,Mallorca,20.3,0,4,0.2,0.7,0.7,2.4,3.0,0.03,0.12,0.15,0.03,0.15
581,Benoît Costil,Bordeaux,25.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
582,Vladimír Coufal,West Ham,24.5,0,4,0.16,0.6,0.6,2.4,3.0,0.03,0.1,0.12,0.03,0.12
583,Kalifa Coulibaly,Nantes,9.4,5,0,0.53,4.1,4.1,1.6,5.6,0.43,0.17,0.59,0.43,0.59
584,Lassana Coulibaly,Salernitana,25.9,0,0,0.0,0.9,0.9,0.3,1.3,0.04,0.01,0.05,0.04,0.05
585,Mamadou Coulibaly,Salernitana,9.0,2,0,0.22,1.2,1.2,0.2,1.4,0.13,0.03,0.16,0.13,0.16
586,Tanguy Coulibaly,Stuttgart,12.0,0,1,0.08,0.9,0.9,0.7,1.6,0.08,0.06,0.13,0.08,0.13
587,Thibaut Courtois,Real Madrid,36.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
588,Philippe Coutinho,Barcelona,5.6,2,0,0.36,2.8,2.0,0.3,2.4,0.5,0.06,0.56,0.36,0.42
589,Philippe Coutinho,Aston Villa,14.8,5,3,0.54,3.7,3.7,3.2,6.9,0.25,0.22,0.47,0.25,0.47
590,Nicolas Cozza,Montpellier,30.8,2,2,0.13,1.4,1.4,1.0,2.4,0.05,0.03,0.08,0.05,0.08
591,Alessio Cragno,Cagliari,35.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,Aaron Cresswell,West Ham,30.3,2,3,0.17,1.1,1.1,3.2,4.3,0.04,0.11,0.14,0.04,0.14
593,Charlie Cresswell,Leeds United,1.6,0,0,0.0,0.1,0.1,0.0,0.1,0.05,0.0,0.05,0.05,0.05
594,Domenico Criscito,Genoa,18.0,6,1,0.39,5.6,0.3,0.8,1.1,0.31,0.04,0.36,0.02,0.06
595,Bryan Cristante,Roma,29.8,2,0,0.07,2.3,2.3,1.6,3.9,0.08,0.05,0.13,0.08,0.13
596,Cristo,Real Sociedad,0.2,0,0,0.0,0.0,0.0,0.1,0.1,0.03,0.39,0.42,0.03,0.42
597,Enzo Crivelli,Saint-Étienne,1.1,0,0,0.0,0.4,0.4,0.0,0.4,0.33,0.0,0.33,0.33,0.33
598,Domen Črnigoj,Venezia,20.9,3,1,0.19,2.3,2.3,0.9,3.2,0.11,0.04,0.15,0.11,0.15
599,Giovanni Crociata,Empoli,0.2,0,0,0.0,0.1,0.1,0.0,0.1,0.31,0.0,0.31,0.31,0.31
600,Juan Cruz Armada,Osasuna,21.5,0,0,0.0,0.3,0.3,0.0,0.4,0.01,0.0,0.02,0.01,0.02
601,Juan Cuadrado,Juventus,27.6,4,3,0.25,2.0,2.0,5.0,7.0,0.07,0.18,0.25,0.07,0.25
602,Cucho,Watford,12.7,5,2,0.55,2.5,2.5,1.9,4.4,0.2,0.15,0.35,0.2,0.35
603,Marc Cucurella,Getafe,0.3,0,0,0.0,0.1,0.1,0.1,0.1,0.22,0.23,0.45,0.22,0.45
604,Marc Cucurella,Brighton,34.3,1,1,0.06,0.7,0.7,2.6,3.3,0.02,0.08,0.1,0.02,0.1
605,Jorge Cuenca,Getafe,29.8,1,0,0.03,0.7,0.7,0.1,0.8,0.02,0.0,0.03,0.02,0.03
606,Mickaël Cuisance,Venezia,10.2,0,0,0.0,0.5,0.5,1.0,1.5,0.05,0.09,0.15,0.05,0.15
607,Mickaël Cuisance,Bayern Munich,0.1,0,0,0.0,0.0,0.0,0.1,0.1,0.0,0.97,0.97,0.0,0.97
608,Luke Cundle,Wolves,2.0,0,0,0.0,0.0,0.0,0.2,0.2,0.0,0.12,0.12,0.0,0.12
609,Matheus Cunha,Hertha BSC,0.7,0,1,1.41,0.7,0.7,0.0,0.7,0.94,0.0,0.94,0.94,0.94
610,Matheus Cunha,Atlético Madrid,11.8,6,4,0.85,6.3,6.3,2.2,8.5,0.53,0.19,0.72,0.53,0.72
611,Patrick Cutrone,Empoli,15.6,3,0,0.19,4.7,4.7,0.9,5.6,0.3,0.06,0.36,0.3,0.36
612,Wylan Cyprien,Nantes,16.6,2,3,0.3,0.8,0.8,3.0,3.8,0.05,0.18,0.23,0.05,0.23
613,Rafael Czichos,Köln,15.6,0,1,0.06,0.2,0.2,0.4,0.7,0.01,0.03,0.04,0.01,0.04
614,Lennart-Marten Czyborra,Arminia,1.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615,Danilo D'Ambrosio,Inter,11.1,1,1,0.18,1.9,1.9,0.1,2.0,0.17,0.01,0.18,0.17,0.18
616,Lucas Da Cunha,Clermont Foot,9.3,2,0,0.22,1.3,1.3,0.9,2.2,0.14,0.1,0.24,0.14,0.24
617,Lucas Da Cunha,Nice,4.4,0,1,0.23,1.0,1.0,1.7,2.7,0.23,0.39,0.63,0.23,0.63
618,Damien Da Silva,Lyon,12.5,0,0,0.0,0.4,0.4,0.3,0.8,0.03,0.03,0.06,0.03,0.06
619,Moanes Dabbur,Hoffenheim,14.6,3,4,0.48,3.7,3.7,2.6,6.3,0.25,0.18,0.43,0.25,0.43
620,Colin Dagba,Paris S-G,1.8,0,0,0.0,0.0,0.0,0.1,0.1,0.0,0.07,0.07,0.0,0.07
621,Finn Dahmen,Mainz 05,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622,Mahmoud Dahoud,Dortmund,18.4,2,3,0.27,1.1,1.1,3.4,4.5,0.06,0.19,0.25,0.06,0.25
623,Patson Daka,Leicester City,12.9,5,3,0.62,4.7,4.7,1.8,6.5,0.36,0.14,0.51,0.36,0.51
624,Stuart Dallas,Leeds United,32.4,1,1,0.06,2.0,2.0,2.1,4.0,0.06,0.06,0.12,0.06,0.12
625,Diogo Dalot,Manchester Utd,20.0,0,0,0.0,0.7,0.7,1.0,1.7,0.03,0.05,0.08,0.03,0.08
626,Mikkel Damsgaard,Sampdoria,6.4,0,0,0.0,0.7,0.7,0.4,1.2,0.12,0.07,0.19,0.12,0.19
627,Flavius Daniliuc,Nice,14.4,0,0,0.0,0.2,0.2,0.2,0.4,0.02,0.01,0.03,0.02,0.03
628,Danilo,Juventus,21.0,1,2,0.14,1.2,1.2,1.2,2.4,0.06,0.06,0.11,0.06,0.11
629,Kevin Danso,Lens,31.0,2,2,0.13,1.6,1.6,0.2,1.8,0.05,0.01,0.06,0.05,0.06
630,Dante,Nice,31.9,0,0,0.0,0.8,0.8,1.4,2.2,0.03,0.04,0.07,0.03,0.07
631,Ebrima Darboe,Roma,0.7,0,0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
632,Márton Dárdai,Hertha BSC,8.4,0,1,0.12,0.1,0.1,0.1,0.2,0.01,0.01,0.03,0.01,0.03
633,Sergi Darder,Espanyol,34.7,3,9,0.35,2.8,2.8,4.9,7.8,0.08,0.14,0.22,0.08,0.22
634,Vladimír Darida,Hertha BSC,19.8,2,5,0.35,1.8,1.8,3.3,5.2,0.09,0.17,0.26,0.09,0.26
635,Karl Darlow,Newcastle Utd,8.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
636,Matteo Darmian,Inter,16.7,2,1,0.18,0.9,0.9,2.2,3.1,0.05,0.13,0.19,0.05,0.19
637,Josh Dasilva,Brentford,2.9,0,0,0.0,0.0,0.0,0.1,0.2,0.02,0.04,0.05,0.02,0.05
638,Jonathan David,Lille,31.2,15,0,0.48,14.1,11.8,3.2,15.0,0.45,0.1,0.56,0.38,0.48
639,Alphonso Davies,Bayern Munich,19.3,0,3,0.16,1.7,1.7,4.0,5.8,0.09,0.21,0.3,0.09,0.3
640,Ben Davies,Tottenham,28.2,1,1,0.07,1.8,1.8,0.6,2.3,0.06,0.02,0.08,0.06,0.08
641,Tom Davies,Everton,2.6,1,0,0.38,0.9,0.9,0.0,0.9,0.35,0.0,0.35,0.35,0.35
642,Keinan Davis,Aston Villa,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
643,Paweł Dawidowicz,Hellas Verona,13.3,0,0,0.0,0.4,0.4,0.1,0.5,0.03,0.01,0.04,0.03,0.04
644,Craig Dawson,West Ham,30.6,2,2,0.13,2.8,2.8,0.5,3.3,0.09,0.01,0.11,0.09,0.11
645,Kevin De Bruyne,Manchester City,24.5,15,8,0.94,6.4,6.4,9.4,15.8,0.26,0.39,0.65,0.26,0.65
646,Konrad De La Fuente,Marseille,8.7,0,2,0.23,1.1,1.1,1.5,2.6,0.12,0.17,0.29,0.12,0.29
647,Sebastien De Maio,Udinese,2.0,0,0,0.0,0.0,0.0,0.3,0.3,0.0,0.14,0.14,0.0,0.14
648,Tommaso De Nipoti,Atalanta,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649,Rodrigo De Paul,Atlético Madrid,23.9,3,1,0.17,1.6,1.6,4.1,5.7,0.07,0.17,0.24,0.07,0.24
650,Mattia De Sciglio,Juventus,13.0,1,2,0.23,0.2,0.2,2.4,2.6,0.02,0.19,0.2,0.02,0.2
651,Lorenzo De Silvestri,Bologna,25.5,3,2,0.2,2.0,2.0,2.1,4.0,0.08,0.08,0.16,0.08,0.16
652,Saulo Decarli,Bochum,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29
653,Troy Deeney,Watford,0.3,0,0,0.0,0.4,0.4,0.1,0.5,1.45,0.32,1.77,1.45,1.77
654,Grégoire Defrel,Sassuolo,15.1,2,2,0.26,3.9,3.9,2.1,6.0,0.26,0.14,0.4,0.26,0.4
655,Alessandro Deiola,Cagliari,23.7,4,1,0.21,2.3,2.3,1.3,3.6,0.1,0.06,0.15,0.1,0.15
656,Romain Del Castillo,Rennes,0.3,0,0,0.0,0.1,0.1,0.1,0.2,0.38,0.16,0.55,0.38,0.55
657,Romain Del Castillo,Brest,10.8,0,6,0.55,0.8,0.7,1.9,2.6,0.08,0.18,0.25,0.06,0.24
658,Thomas Delaine,Metz,25.7,1,2,0.12,1.2,1.2,2.7,3.9,0.05,0.11,0.15,0.05,0.15
659,Thomas Delaney,Dortmund,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660,Thomas Delaney,Sevilla,17.2,2,1,0.17,1.3,1.3,0.6,1.8,0.07,0.03,0.11,0.07,0.11
661,Liam Delap,Manchester City,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662,Sacha Delaye,Montpellier,2.9,0,1,0.34,0.1,0.1,0.9,1.0,0.04,0.3,0.34,0.04,0.34
663,Filippo Delli Carri,Salernitana,3.7,0,0,0.0,0.1,0.1,0.1,0.2,0.04,0.02,0.05,0.04,0.05
664,Andy Delort,Montpellier,3.0,2,1,1.0,1.4,1.4,0.7,2.1,0.48,0.22,0.7,0.48,0.7
665,Andy Delort,Nice,27.2,16,2,0.66,14.8,12.5,4.2,16.7,0.54,0.15,0.7,0.46,0.61
666,Fabian Delph,Everton,7.4,0,0,0.0,0.0,0.0,0.1,0.1,0.01,0.01,0.02,0.01,0.02
667,Moussa Dembélé,Lyon,24.5,21,4,1.02,18.8,15.1,3.0,18.1,0.77,0.12,0.89,0.62,0.74
668,Ousmane Dembélé,Barcelona,15.7,1,13,0.89,2.8,2.8,7.8,10.6,0.18,0.5,0.68,0.18,0.68
669,Yusuf Demir,Barcelona,2.1,0,0,0.0,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04
670,Merih Demiral,Atalanta,21.3,1,2,0.14,2.2,2.2,0.0,2.2,0.1,0.0,0.1,0.1,0.1
671,Kerem Demirbay,Leverkusen,22.8,1,4,0.22,3.4,1.9,4.1,6.0,0.15,0.18,0.33,0.08,0.26
672,Ermedin Demirović,Freiburg,9.7,2,3,0.52,3.5,3.5,1.2,4.7,0.37,0.12,0.49,0.37,0.49
673,Diego Demme,Napoli,7.7,1,0,0.13,0.3,0.3,0.3,0.6,0.04,0.04,0.08,0.04,0.08
674,Jason Denayer,Lyon,11.1,3,0,0.27,1.5,1.5,0.0,1.5,0.14,0.0,0.14,0.14,0.14
675,Leander Dendoncker,Wolves,21.7,2,2,0.18,2.6,2.6,1.0,3.6,0.12,0.05,0.16,0.12,0.16
676,Emmanuel Dennis,Watford,28.7,10,6,0.56,7.4,7.4,3.2,10.6,0.26,0.11,0.37,0.26,0.37
677,Fabio Depaoli,Sampdoria,1.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
678,Fabio Depaoli,Hellas Verona,7.8,1,1,0.26,0.6,0.6,0.3,0.9,0.07,0.04,0.12,0.07,0.12
679,Memphis Depay,Barcelona,20.6,12,2,0.68,11.0,7.2,3.9,11.1,0.53,0.19,0.73,0.35,0.54
680,Mike van der Hoorn,Arminia,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
681,Arthur Desmas,Clermont Foot,14.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
682,Sergiño Dest,Barcelona,16.8,0,3,0.18,1.5,1.5,2.8,4.3,0.09,0.16,0.26,0.09,0.26
683,Mattia Destro,Genoa,19.4,9,1,0.52,7.7,7.7,1.0,8.7,0.4,0.05,0.45,0.4,0.45
684,Gerard Deulofeu,Udinese,29.1,13,5,0.62,8.5,7.8,7.0,14.8,0.29,0.24,0.54,0.27,0.51
685,Kiernan Dewsbury-Hall,Leicester City,23.4,1,2,0.13,1.3,1.3,3.0,4.3,0.06,0.13,0.18,0.06,0.18
686,Jacopo Dezi,Venezia,0.2,0,0,0.0,0.0,0.0,0.0,0.1,0.21,0.15,0.35,0.21,0.35
687,Samuel Di Carmine,Hellas Verona,0.4,0,0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
688,Federico Di Francesco,Empoli,15.2,5,0,0.33,2.4,2.4,1.0,3.4,0.16,0.06,0.22,0.16,0.22
689,Giovanni Di Lorenzo,Napoli,31.9,1,4,0.16,1.2,1.2,2.7,3.9,0.04,0.09,0.12,0.04,0.12
690,Ángel Di María,Paris S-G,18.3,5,7,0.66,5.5,5.5,6.9,12.3,0.3,0.37,0.67,0.3,0.67
691,Francesco Di Mariano,Venezia,0.7,0,0,0.0,0.0,0.0,0.1,0.1,0.0,0.08,0.08,0.0,0.08
692,Francesco Di Tacchio,Salernitana,13.9,0,0,0.0,0.4,0.4,0.1,0.5,0.03,0.01,0.04,0.03,0.04
693,Boulaye Dia,Villarreal,14.1,5,5,0.71,5.0,5.0,1.9,6.9,0.36,0.13,0.49,0.36,0.49
694,Moussa Diaby,Leverkusen,30.7,13,12,0.82,8.5,7.8,9.1,16.9,0.28,0.3,0.58,0.25,0.55
695,Yadaly Diaby,Clermont Foot,0.7,0,0,0.0,0.1,0.1,0.0,0.1,0.17,0.0,0.17,0.17,0.17
696,Mouctar Diakhaby,Valencia,21.6,0,1,0.05,0.5,0.5,0.1,0.6,0.02,0.01,0.03,0.02,0.03
697,Ibrahim Diakité,Reims,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
698,Abdou Diallo,Paris S-G,9.7,0,1,0.1,0.2,0.2,0.6,0.7,0.02,0.06,0.07,0.02,0.07
699,Habib Diallo,Strasbourg,17.1,11,1,0.7,10.3,8.7,2.1,10.8,0.6,0.12,0.72,0.51,0.63
700,Ibrahima Diallo,Southampton,11.4,0,2,0.18,0.5,0.5,1.0,1.4,0.04,0.09,0.13,0.04,0.13
701,Mouhamadou Diarra,Strasbourg,1.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702,Stéphane Diarra,Lorient,5.8,0,0,0.0,1.2,1.2,1.5,2.7,0.21,0.25,0.46,0.21,0.46
703,Rúben Dias,Manchester City,26.7,2,4,0.22,2.1,2.1,2.3,4.5,0.08,0.09,0.17,0.08,0.17
704,Krepin Diatta,Monaco,3.2,1,0,0.32,0.2,0.2,0.1,0.3,0.07,0.04,0.11,0.07,0.11
705,Amadou Diawara,Roma,1.9,0,0,0.0,0.0,0.0,0.0,0.1,0.01,0.03,0.03,0.01,0.03
706,Brahim Díaz,Milan,20.6,3,3,0.29,4.7,4.7,2.5,7.2,0.23,0.12,0.35,0.23,0.35
707,Javier Díaz,Sevilla,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
708,Luis Díaz,Liverpool,10.6,4,3,0.66,4.5,4.5,1.8,6.3,0.42,0.17,0.59,0.42,0.59
709,Víctor Díaz,Granada,16.7,1,0,0.06,1.1,1.1,0.2,1.3,0.07,0.01,0.08,0.07,0.08
710,Daniel Didavi,Stuttgart,3.1,0,1,0.32,1.0,1.0,0.8,1.7,0.32,0.25,0.57,0.32,0.57
711,Bamba Dieng,Marseille,10.8,7,1,0.74,7.7,6.9,1.2,8.1,0.71,0.11,0.82,0.64,0.75
712,Eric Dier,Tottenham,34.1,0,0,0.0,1.0,1.0,1.4,2.4,0.03,0.04,0.07,0.03,0.07
713,Elhadji Dieye,Saint-Étienne,0.4,0,0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09
714,Lucas Digne,Everton,13.0,0,0,0.0,0.4,0.4,1.7,2.1,0.03,0.13,0.16,0.03,0.16
715,Lucas Digne,Aston Villa,14.1,0,4,0.28,0.6,0.6,2.0,2.6,0.04,0.14,0.18,0.04,0.18
716,Mitchell Dijks,Bologna,7.7,0,2,0.26,0.6,0.6,0.4,1.0,0.08,0.05,0.13,0.08,0.13
717,Javairô Dilrosun,Hertha BSC,1.5,0,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
718,Javairô Dilrosun,Bordeaux,19.2,2,6,0.42,3.1,3.1,3.1,6.2,0.16,0.16,0.32,0.16,0.32
719,Federico Dimarco,Inter,15.9,2,3,0.31,3.5,2.7,5.2,7.9,0.22,0.33,0.54,0.17,0.5
720,Landry Dimata,Espanyol,6.0,0,0,0.0,1.3,1.3,0.2,1.6,0.22,0.04,0.26,0.22,0.26
721,Stole Dimitrievski,Rayo Vallecano,30.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722,Junior Dina Ebimbe,Paris S-G,3.5,0,0,0.0,0.1,0.1,0.1,0.2,0.04,0.02,0.05,0.04,0.05
723,Tristan Dingomé,Troyes,12.0,2,4,0.5,0.9,0.9,2.5,3.4,0.08,0.21,0.29,0.08,0.29
724,Sinaly Diomande,Lyon,6.4,0,0,0.0,0.3,0.3,0.0,0.3,0.04,0.0,0.04,0.04,0.04
725,Issa Diop,West Ham,10.7,0,1,0.09,0.1,0.1,0.1,0.3,0.01,0.01,0.02,0.01,0.02
726,Sofiane Diop,Monaco,21.6,6,4,0.46,5.4,5.4,4.1,9.5,0.25,0.19,0.44,0.25,0.44
727,Andy Diouf,Rennes,0.2,0,0,0.0,0.0,0.0,0.5,0.5,0.0,3.03,3.03,0.0,3.03
728,Assane Dioussé,Saint-Étienne,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
729,Axel Disasi,Monaco,30.2,1,0,0.03,1.9,1.9,0.4,2.3,0.06,0.01,0.08,0.06,0.08
730,Filippo Distefano,Fiorentina,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
731,Matías Dituro,Celta Vigo,38.0,0,0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0
732,Tiago Djaló,Lille,25.9,1,1,0.08,1.1,1.1,0.3,1.4,0.04,0.01,0.06,0.04,0.06
733,Djené,Getafe,34.6,0,1,0.03,0.1,0.1,0.3,0.4,0.0,0.01,0.01,0.0,0.01
734,Moussa Djenepo,Southampton,5.1,0,0,0.0,1.5,1.5,0.2,1.7,0.3,0.05,0.34,0.3,0.34
735,Koffi Djidji,Torino,19.3,0,0,0.0,0.5,0.5,0.1,0.6,0.03,0.0,0.03,0.03,0.03
736,Alexander Djiku,Strasbourg,29.9,1,0,0.03,2.1,2.1,0.6,2.8,0.07,0.02,0.09,0.07,0.09
737,Bryan Djile Nokoué,Saint-Étienne,0.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
738,Berat Djimsiti,Atalanta,25.1,1,1,0.08,1.9,1.9,1.0,2.9,0.08,0.04,0.12,0.08,0.12
739,Ouparine Djoco,Clermont Foot,23.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
740,Naïs Djouahra,Real Sociedad,2.4,0,0,0.0,0.3,0.3,0.3,0.6,0.11,0.12,0.23,0.11,0.23
741,Marko Dmitrović,Sevilla,6.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
742,Lewis Dobbin,Everton,0.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
743,Matt Doherty,Tottenham,9.7,2,4,0.62,2.5,2.5,1.8,4.3,0.26,0.18,0.44,0.26,0.44
744,Jeremy Doku,Rennes,5.2,1,2,0.58,0.8,0.8,1.3,2.1,0.15,0.25,0.4,0.15,0.4
745,Kasper Dolberg,Nice,16.6,6,2,0.48,6.4,4.9,1.2,6.1,0.39,0.08,0.46,0.29,0.37
746,Jaume Doménech,Valencia,3.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747,Brandon Domingues,Troyes,2.6,1,0,0.39,0.9,0.9,0.3,1.2,0.35,0.12,0.47,0.35,0.47
748,Carlos Dominguez,Celta Vigo,3.8,0,0,0.0,0.1,0.1,0.0,0.1,0.03,0.0,0.03,0.03,0.03
749,Mario Dominguez,Valencia,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750,Nicolás Domínguez,Bologna,22.4,0,3,0.13,1.6,1.6,2.2,3.8,0.07,0.1,0.17,0.07,0.17
751,John Donald,Elche,2.0,0,0,0.0,0.2,0.2,0.0,0.2,0.09,0.01,0.1,0.09,0.1
752,Lee Dongjun,Hertha BSC,1.3,0,0,0.0,0.6,0.6,0.0,0.6,0.43,0.0,0.43,0.43,0.43
753,Anastasios Donis,Reims,4.1,0,0,0.0,0.7,0.7,0.3,1.1,0.18,0.08,0.26,0.18,0.26
754,Gianluigi Donnarumma,Paris S-G,17.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
755,Niklas Dorsch,Augsburg,25.8,1,0,0.04,0.2,0.2,0.3,0.5,0.01,0.01,0.02,0.01,0.02
756,Gabriel Dos Santos,Arsenal,34.0,5,0,0.15,2.7,2.7,0.8,3.5,0.08,0.02,0.1,0.08,0.1
757,Jodel Dossou,Clermont Foot,22.3,3,1,0.18,5.1,5.1,2.5,7.6,0.23,0.11,0.34,0.23,0.34
758,Lohann Doucet,Nantes,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
759,Abdoulaye Doucouré,Everton,28.2,2,4,0.21,2.7,2.7,2.2,4.9,0.1,0.08,0.17,0.1,0.17
760,Cheick Doucouré,Lens,32.7,1,4,0.15,1.5,1.5,3.1,4.6,0.05,0.09,0.14,0.05,0.14
761,Fodé Doucouré,Reims,1.7,0,0,0.0,0.0,0.0,0.0,0.1,0.02,0.02,0.04,0.02,0.04
762,Ismaël Doukouré,Strasbourg,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
763,Kamory Doumbia,Reims,3.9,2,1,0.77,0.6,0.6,0.4,1.0,0.15,0.1,0.25,0.15,0.25
764,Moussa Doumbia,Reims,1.0,0,0,0.0,0.9,0.1,0.0,0.1,0.9,0.0,0.9,0.13,0.13
765,Souleyman Doumbia,Angers,24.7,0,1,0.04,0.7,0.7,1.5,2.1,0.03,0.06,0.09,0.03,0.09
766,Kieran Dowell,Norwich City,10.1,1,1,0.2,1.2,1.2,2.0,3.1,0.12,0.19,0.31,0.12,0.31
767,Bartłomiej Drągowski,Fiorentina,6.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
768,Radu Drăgușin,Salernitana,5.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
769,Radu Drăgușin,Sampdoria,6.9,0,0,0.0,0.2,0.2,0.1,0.3,0.03,0.02,0.04,0.03,0.04
770,Cody Drameh,Leeds United,1.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
771,Julian Draxler,Paris S-G,6.1,2,1,0.49,1.4,1.4,1.5,2.9,0.24,0.24,0.48,0.24,0.48
772,Matthieu Dreyer,Lorient,16.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
773,Domingos Duarte,Granada,18.7,1,0,0.05,0.7,0.7,0.0,0.7,0.04,0.0,0.04,0.04,0.04
774,Óscar Duarte,Levante,19.7,2,0,0.1,1.1,1.1,0.3,1.3,0.05,0.01,0.07,0.05,0.07
775,Rubén Duarte,Alavés,29.1,0,4,0.14,0.5,0.5,2.1,2.6,0.02,0.07,0.09,0.02,0.09
