,Player,Squad,90s,SCA,SCA90,PassLive,Drib
2385,Mattia Zanotti,Inter,0.1,1,10.0,1,0
2386,Takehiro Tomiyasu,Bologna,0.1,1,9.0,1,0
2387,Axel Tuanzebe,Napoli,0.1,1,8.18,1,0
2388,Luismi,Sevilla,0.1,1,6.92,1,0
2389,Jérémy Pied,Lille,0.1,1,6.92,1,0
2390,Andy Diouf,Rennes,0.2,1,6.43,1,0
2391,Brayann Pereira,Lens,0.2,1,6.0,1,0
2392,Finley Stevens,Brentford,0.2,1,6.0,1,0
2393,Mehdi Chahiri,Strasbourg,0.2,1,5.63,1,0
2394,Jacopo Dezi,Venezia,0.2,1,5.63,1,0
2395,Pedro Mendes,Montpellier,0.2,1,5.63,1,0
2396,Luca Wollschläger,Hertha BSC,0.2,1,5.63,1,0
2397,Cristo,Real Sociedad,0.2,1,5.29,1,0
2398,Mathias Olesen,Köln,0.2,1,5.29,1,0
2399,Tommaso Baldanzi,Empoli,0.2,1,5.0,1,0
2400,Cesc Fàbregas,Monaco,0.4,2,4.74,1,0
2401,Niklas Pyyhtiä,Bologna,0.2,1,4.74,1,0
2402,Amadou Traore,Bordeaux,0.2,1,4.74,1,0
2403,Josip Brekalo,Wolfsburg,0.2,1,4.29,1,0
2404,Baptiste Santamaria,Freiburg,0.2,1,4.29,1,0
2405,Cimo Röcker,Hertha BSC,0.2,1,4.09,1,0
2406,Felipe Caicedo,Inter,0.3,1,3.91,1,0
2407,Simone Pafundi,Udinese,0.3,1,3.91,1,0
2408,Omar Marmoush,Wolfsburg,0.3,1,3.75,1,0
2409,Troy Deeney,Watford,0.3,1,3.6,1,0
2410,Taylor Richards,Brighton,0.3,1,3.6,1,0
2411,Marten Winkler,Hertha BSC,0.3,1,3.46,1,0
2412,Mathys Tel,Rennes,0.6,2,3.21,1,0
2413,Alvaro Sanz,Barcelona,0.3,1,3.1,1,0
2414,Pierre-Yves Hamel,Lorient,0.3,1,3.0,1,0
2415,Blanco,Real Madrid,0.3,1,2.9,1,0
2416,Lilian Egloff,Stuttgart,0.3,1,2.9,1,0
2417,Adrian Fein,Greuther Fürth,0.4,1,2.81,1,0
2418,Panagiotis Retsos,Leverkusen,0.4,1,2.81,1,0
2419,Myziane Maolida,Nice,0.4,1,2.65,1,0
2420,Antonin Bobichon,Angers,0.4,1,2.37,1,0
2421,Sydney van Hooijdonk,Bologna,0.4,1,2.37,1,0
2422,Martin Satriano,Inter,0.4,1,2.37,1,0
2423,Cristian Volpato,Roma,0.4,1,2.37,1,0
2424,Sebastian Giovinco,Sampdoria,0.4,1,2.31,1,0
2425,Javier Ontiveros,Osasuna,0.4,1,2.31,1,0
2426,Paul Wanner,Bayern Munich,0.4,1,2.31,1,0
2427,Alex Sola,Real Sociedad,0.5,1,2.2,1,0
2428,Marco John,Hoffenheim,0.5,1,2.14,1,0
2429,Aleksandar Kolarov,Inter,0.5,1,2.14,1,0
2430,Dilane Bakwa,Bordeaux,0.5,1,2.09,1,0
2431,Cheikh Niasse,Lille,0.5,1,2.05,1,0
2432,Chema,Getafe,0.5,1,2.0,1,0
2433,Aimar Sher,Spezia,0.5,1,2.0,1,0
2434,Kieran Trippier,Newcastle Utd,4.8,9,1.89,1,0
2435,Wilson Isidor,Monaco,0.6,1,1.8,1,0
2436,Emil Ceide,Sassuolo,0.6,1,1.7,1,0
2437,Maghnes Akliouche,Monaco,0.6,1,1.67,1,0
2438,Darío Benedetto,Marseille,0.6,1,1.67,1,0
2439,Panagiotis Retsos,Hellas Verona,0.6,1,1.64,1,0
2440,Magnus Warming,Torino,0.6,1,1.55,1,0
2441,Wayne Hennessey,Burnley,2.0,3,1.5,1,0
2442,Clément Grenier,Mallorca,0.7,1,1.5,1,0
2443,Ellis Simms,Everton,0.7,1,1.48,1,0
2444,Francesco Di Mariano,Venezia,0.7,1,1.45,1,0
2445,Calderón,Betis,0.7,1,1.38,1,0
2446,Diego Falcinelli,Bologna,0.7,1,1.36,1,0
2447,Tyler Morton,Liverpool,0.7,1,1.36,1,0
2448,Yadaly Diaby,Clermont Foot,0.7,1,1.34,1,0
2449,Javier Serrano,Atlético Madrid,0.8,1,1.32,1,0
2450,Jeff Hendrick,Newcastle Utd,0.8,1,1.25,1,0
2451,Antonio Raimondo,Bologna,0.8,1,1.22,1,0
2452,Daniele Baselli,Torino,1.7,2,1.2,1,0
2453,Kingsley Michael,Bologna,0.8,1,1.18,1,0
2454,Valentin Mihaila,Atalanta,0.8,1,1.18,1,0
2455,Marley Aké,Juventus,0.9,1,1.17,1,0
2456,Emmanuel Amankwaa Akurugu,Getafe,0.9,1,1.14,1,0
2457,Luka Romero,Lazio,0.9,1,1.07,1,0
2458,Luca Vignali,Spezia,0.9,1,1.06,1,0
2459,Raúl Parra,Cádiz,1.0,1,1.02,1,0
2460,Danny Ward,Leicester City,1.0,1,1.0,1,0
2461,Jesús Areso,Osasuna,2.1,2,0.96,1,0
2462,Tom Rothe,Dortmund,1.0,1,0.96,1,0
2463,Ismaëlben Boura,Lens,1.1,1,0.95,1,0
2464,Borja Mayoral,Roma,1.1,1,0.94,1,0
2465,Baptiste Mouazan,Lorient,1.1,1,0.94,1,0
2466,Eric N'Jo,Troyes,1.1,1,0.92,1,0
2467,Enzo Crivelli,Saint-Étienne,1.1,1,0.88,1,0
2468,Edoardo Vergani,Salernitana,1.1,1,0.88,1,0
2469,Nicolas Viola,Bologna,1.1,1,0.88,1,0
2470,Matthis Abline,Rennes,1.1,1,0.87,1,0
2471,Víctor Camarasa,Betis,1.2,1,0.83,1,0
2472,Gabriel Veiga,Celta Vigo,1.2,1,0.83,1,0
2473,Clinton Mola,Stuttgart,1.3,1,0.8,1,0
2474,Steffen Tigges,Dortmund,1.2,1,0.8,1,0
2475,Martín,Cádiz,1.3,1,0.78,1,0
2476,Juan Ignacio Ramírez,Saint-Étienne,1.4,1,0.71,1,0
2477,Jordan Amavi,Marseille,1.4,1,0.7,1,0
2478,Lennart-Marten Czyborra,Arminia,1.5,1,0.69,1,0
2479,Charlie Cresswell,Leeds United,1.6,1,0.64,1,0
2480,Daniel Maldini,Milan,1.6,1,0.61,1,0
2481,Rubén,Espanyol,1.7,1,0.6,1,0
2482,Silvère Ganvoula M'Boussy,Bochum,1.7,1,0.59,1,0
2483,Fodé Doucouré,Reims,1.7,1,0.58,1,0
2484,Sofiane Alakouch,Metz,1.8,1,0.57,1,0
2485,Marco Benassi,Fiorentina,1.8,1,0.57,1,0
2486,Lasse Günther,Augsburg,1.8,1,0.56,1,0
2487,Nicolas Nkoulou,Watford,1.9,1,0.54,1,0
2488,Ryan Bertrand,Leicester City,3.7,2,0.53,1,0
2489,Calum Chambers,Arsenal,1.9,1,0.53,1,0
2490,Amadou Diawara,Roma,1.9,1,0.53,1,0
2491,Leonardo Capezzi,Salernitana,1.9,1,0.51,1,0
2492,Dénys Bain,Brest,2.0,1,0.5,1,0
2493,Sebastien De Maio,Udinese,2.0,1,0.5,1,0
2494,Pablo Marí,Arsenal,2.0,1,0.5,1,0
2495,Josema,Elche,2.0,1,0.49,1,0
2496,Mickey van de Ven,Wolfsburg,2.1,1,0.48,1,0
2497,Andrés Martín,Rayo Vallecano,2.1,1,0.48,1,0
2498,Steve Mandanda,Marseille,9.0,4,0.44,1,0
2499,Julian Chabot,Köln,2.3,1,0.43,1,0
2500,Eric Bailly,Manchester Utd,2.4,1,0.41,1,0
2501,Matija Nastasić,Fiorentina,2.4,1,0.41,1,0
2502,Tachi,Alavés,2.7,1,0.38,1,0
2503,Stefan Ilsanker,Eint Frankfurt,3.0,1,0.34,1,0
2504,Justin Hoogma,Greuther Fürth,3.0,1,0.33,1,0
2505,Neto,Barcelona,3.0,1,0.33,1,0
2506,Gareth Bale,Real Madrid,3.1,1,0.32,1,0
2507,Sebastian Walukiewicz,Cagliari,3.4,1,0.3,1,0
2508,Kostas Manolas,Napoli,3.5,1,0.29,1,0
2509,Carlos Dominguez,Celta Vigo,3.8,1,0.26,1,0
2510,Andrea Ranocchia,Inter,3.8,1,0.26,1,0
2511,Jesús Vallejo,Real Madrid,3.8,1,0.26,1,0
2512,Yan Valery,Southampton,4.1,1,0.24,1,0
2513,Karim Azamoum,Troyes,4.3,1,0.23,1,0
2514,Luka Bogdan,Salernitana,4.4,1,0.23,1,0
2515,Kevin Long,Burnley,4.6,1,0.22,1,0
2516,Francisco Sierralta,Watford,4.7,1,0.21,1,0
2517,Okay Yokuşlu,Getafe,5.2,1,0.19,1,0
2518,Axel Tuanzebe,Aston Villa,5.6,1,0.18,1,0
2519,Sergio Asenjo,Villarreal,6.0,1,0.17,1,0
2520,Andrea Masiello,Genoa,5.7,1,0.17,1,0
2521,Pavao Pervan,Wolfsburg,6.0,1,0.17,1,0
2522,Marvin Friedrich,M'Gladbach,6.7,1,0.15,1,0
2523,Jean-Armel Kana-Biyik,Metz,7.4,1,0.14,1,0
2524,Jeroen Zoet,Spezia,7.0,1,0.14,1,0
2525,Dimitry Bertaud,Montpellier,9.3,1,0.11,1,0
2526,Thuler,Montpellier,9.5,1,0.11,1,0
2527,Etrit Berisha,Torino,10.0,1,0.1,1,0
2528,Daniele Rugani,Juventus,9.8,1,0.1,1,0
2529,Doğan Alemdar,Rennes,12.0,1,0.08,1,0
2530,Fraser Forster,Southampton,19.0,2,0.11,0,0
2531,Rui Silva,Betis,21.8,2,0.09,0,0
2532,Martin Dúbravka,Newcastle Utd,26.0,2,0.08,0,0
2533,Sergio Rico,Mallorca,14.0,1,0.07,0,0
2534,Marc-Aurèle Caillard,Metz,17.1,1,0.06,0,0
2535,Koen Casteels,Wolfsburg,28.0,1,0.04,0,0
2536,Jean-Louis Leca,Lens,25.7,1,0.04,0,0
2537,Aaron Ramsdale,Arsenal,34.0,1,0.03,0,0
2538,Łukasz Skorupski,Bologna,36.0,1,0.03,0,0
2539,Édgar Badía,Elche,24.0,0,0.0,0,0
2540,Oliver Baumann,Hoffenheim,33.0,0,0.0,0,0
2541,Paul Bernardoni,Angers,13.0,0,0.0,0,0
2542,Leonardo César Jardim,Lille,17.0,0,0.0,0,0
2543,Arthur Desmas,Clermont Foot,14.5,0,0.0,0,0
2544,Gianluigi Donnarumma,Paris S-G,17.0,0,0.0,0,0
2545,Matthieu Dreyer,Lorient,16.0,0,0.0,0,0
2546,Aitor Fernández,Levante,13.0,0,0.0,0,0
2547,Gauthier Gallon,Troyes,31.0,0,0.0,0,0
2548,Andreas Luthe,Union Berlin,27.0,0,0.0,0,0
2549,Paul Nardi,Lorient,22.0,0,0.0,0,0
2550,Keylor Navas,Paris S-G,20.6,0,0.0,0,0
2551,Nicolas Galazzi,Venezia,0.2,1,5.63,0,0
2552,Zidan Sertdemir,Leverkusen,0.2,1,5.0,0,0
2553,Barbero,Osasuna,0.2,1,4.29,0,0
2554,Romain Del Castillo,Rennes,0.3,1,3.21,0,0
2555,Simone Verdi,Torino,0.5,1,1.96,0,0
2556,Ibrahima Baldé,Lens,0.6,1,1.55,0,0
2557,Joan Sastre Vanrell,Mallorca,2.9,3,1.05,0,0
2558,Robin Olsen,Aston Villa,1.0,1,1.0,0,0
2559,William Smallbone,Southampton,1.5,1,0.68,0,0
2560,Dominic Thompson,Brentford,1.6,1,0.62,0,0
2561,Paul Dummett,Newcastle Utd,2.2,1,0.45,0,0
2562,Michael Esser,Bochum,3.0,1,0.33,0,0
2563,Luca Lezzerini,Venezia,5.5,1,0.18,0,0
2564,Marcel Lotka,Hertha BSC,9.8,1,0.1,0,0
2565,Charles Abi,Saint-Étienne,0.5,0,0.0,0,0
2566,Mohamed Achi,Nantes,0.1,0,0.0,0,0
2567,Julen Agirrezabala,Athletic Club,4.0,0,0.0,0,0
2568,Álvaro Aguirre,Rayo Vallecano,0.1,0,0.0,0,0
2569,Naouirou Ahamada,Stuttgart,0.7,0,0.0,0,0
2570,Josué Albert,Clermont Foot,0.2,0,0.0,0,0
2571,Mircea Alexandru Tirlea,Alavés,0.2,0,0.0,0,0
2572,Hugo Álvarez,Celta Vigo,0.1,0,0.0,0,0
2573,Wisdom Amey,Bologna,0.8,0,0.0,0,0
2574,Ebenezer Annan,Bologna,0.3,0,0.0,0,0
2575,Josep Antoni Gayá,Mallorca,0.6,0,0.0,0,0
2576,Cameron Archer,Aston Villa,0.3,0,0.0,0,0
2577,Alphonse Areola,West Ham,1.0,0,0.0,0,0
2578,Kepa Arrizabalaga,Chelsea,4.0,0,0.0,0,0
2579,Harrison Ashby,West Ham,0.1,0,0.0,0,0
2580,Ramzi Aya,Salernitana,1.5,0,0.0,0,0
2581,Daniel Bachmann,Watford,12.0,0,0.0,0,0
2582,Miguel Baeza,Celta Vigo,0.0,0,0.0,0,0
2583,Nicola Bagnolini,Bologna,0.0,0,0.0,0,0
2584,Issa Bah,Venezia,0.1,0,0.0,0,0
2585,Stefan Bajic,Saint-Étienne,5.7,0,0.0,0,0
2586,Folarin Balogun,Arsenal,0.8,0,0.0,0,0
2587,Danilo Barbosa,Nice,1.0,0,0.0,0,0
2588,Barcia,Granada,0.8,0,0.0,0,0
2589,Francesco Bardi,Bologna,2.0,0,0.0,0,0
2590,Álvaro Bastida,Cádiz,2.2,0,0.0,0,0
2591,Julian Baumgartlinger,Leverkusen,1.0,0,0.0,0,0
2592,Jon Bautista,Real Sociedad,0.5,0,0.0,0,0
2593,Paul Baysse,Bordeaux,0.1,0,0.0,0,0
2594,Asmir Begović,Everton,3.0,0,0.0,0,0
2595,Jeanöel Belocian,Rennes,0.1,0,0.0,0,0
2596,Salim Ben Seghir,Marseille,0.0,0,0.0,0,0
2597,Loris Benito,Bordeaux,0.7,0,0.0,0,0
2598,Pedro Benito,Cádiz,0.3,0,0.0,0,0
2599,Filip Benković,Udinese,0.1,0,0.0,0,0
2600,Keanan Bennetts,M'Gladbach,0.6,0,0.0,0,0
2601,Alessandro Berardi,Hellas Verona,1.0,0,0.0,0,0
2602,Nicolò Bertola,Spezia,0.4,0,0.0,0,0
2603,Ermin Bičakčić,Hoffenheim,0.1,0,0.0,0,0
2604,Mads Bidstrup,Brentford,0.5,0,0.0,0,0
2605,Tom Bischof,Hoffenheim,0.2,0,0.0,0,0
2606,Nathan Bitu Mazala,Paris S-G,0.1,0,0.0,0,0
2607,Bjarki Bjarkason,Venezia,0.0,0,0.0,0,0
2608,Solomon Bonnah,RB Leipzig,0.1,0,0.0,0,0
2609,Redwan Bourles,Lorient,0.2,0,0.0,0,0
2610,Edoardo Bove,Roma,0.8,0,0.0,0,0
2611,Jarrad Branthwaite,Everton,4.3,0,0.0,0,0
2612,Iker Bravo,Leverkusen,0.1,0,0.0,0,0
2613,Fabian Bredlow,Stuttgart,4.0,0,0.0,0,0
2614,Lewis Brunt,Leicester City,0.3,0,0.0,0,0
2615,Aleksander Buksa,Genoa,0.7,0,0.0,0,0
2616,Marcin Bułka,Nice,1.0,0,0.0,0,0
2617,Roman Bürki,Dortmund,1.0,0,0.0,0,0
2618,Jack Butland,Crystal Palace,8.5,0,0.0,0,0
2619,Adrián Butzke,Granada,0.0,0,0.0,0,0
2620,Willy Caballero,Southampton,2.0,0,0.0,0,0
2621,Riccardo Calafiori,Genoa,0.9,0,0.0,0,0
2622,Lucas Calodat,Saint-Étienne,0.0,0,0.0,0,0
2623,Mamadou Camara,Troyes,0.4,0,0.0,0,0
2624,Chem Campbell,Wolves,0.1,0,0.0,0,0
2625,Ander Capa,Athletic Club,0.0,0,0.0,0,0
2626,Carlo,Villarreal,0.1,0,0.0,0,0
2627,Carmona,Sevilla,0.3,0,0.0,0,0
2628,Francesco Cassata,Genoa,0.1,0,0.0,0,0
2629,Damir Ceter,Cagliari,0.1,0,0.0,0,0
2630,El Chadaille Bitshiabu,Paris S-G,0.1,0,0.0,0,0
2631,Kayky Chagas,Manchester City,0.1,0,0.0,0,0
2632,Justin Che,Hoffenheim,0.5,0,0.0,0,0
2633,Daniel Chesters,West Ham,0.0,0,0.0,0,0
2634,Giorgio Cittadini,Atalanta,0.0,0,0.0,0,0
2635,Diego Conde,Getafe,0.1,0,0.0,0,0
2636,Andrea Conti,Milan,0.1,0,0.0,0,0
2637,Lucas Copado,Bayern Munich,0.2,0,0.0,0,0
2638,Diego Coppola,Hellas Verona,2.8,0,0.0,0,0
2639,Hélder Costa,Leeds United,0.2,0,0.0,0,0
2640,Giovanni Crociata,Empoli,0.2,0,0.0,0,0
2641,Finn Dahmen,Mainz 05,2.0,0,0.0,0,0
2642,Ebrima Darboe,Roma,0.7,0,0.0,0,0
2643,Karl Darlow,Newcastle Utd,8.0,0,0.0,0,0
2644,Keinan Davis,Aston Villa,0.1,0,0.0,0,0
2645,Tommaso De Nipoti,Atalanta,0.1,0,0.0,0,0
2646,Saulo Decarli,Bochum,0.1,0,0.0,0,0
2647,Thomas Delaney,Dortmund,0.2,0,0.0,0,0
2648,Fabio Depaoli,Sampdoria,1.2,0,0.0,0,0
2649,Mike van der Hoorn,Arminia,0.2,0,0.0,0,0
2650,Ibrahim Diakité,Reims,0.0,0,0.0,0,0
2651,Mouhamadou Diarra,Strasbourg,1.2,0,0.0,0,0
2652,Javier Díaz,Sevilla,1.0,0,0.0,0,0
2653,Elhadji Dieye,Saint-Étienne,0.4,0,0.0,0,0
2654,Assane Dioussé,Saint-Étienne,0.3,0,0.0,0,0
2655,Filippo Distefano,Fiorentina,0.0,0,0.0,0,0
2656,Bryan Djile Nokoué,Saint-Étienne,0.6,0,0.0,0,0
2657,Marko Dmitrović,Sevilla,6.0,0,0.0,0,0
2658,Lewis Dobbin,Everton,0.4,0,0.0,0,0
2659,Jaume Doménech,Valencia,3.8,0,0.0,0,0
2660,Mario Dominguez,Valencia,0.3,0,0.0,0,0
2661,Ismaël Doukouré,Strasbourg,0.2,0,0.0,0,0
2662,Bartłomiej Drągowski,Fiorentina,6.2,0,0.0,0,0
2663,Unai Dufur,Osasuna,1.0,0,0.0,0,0
2664,Hugo Duro,Getafe,0.1,0,0.0,0,0
2665,CJ Egan-Riley,Manchester City,0.0,0,0.0,0,0
2666,Julian Eitschberger,Hertha BSC,0.5,0,0.0,0,0
2667,Emerson,Barcelona,1.0,0,0.0,0,0
2668,Gonzalo Escalante,Lazio,0.1,0,0.0,0,0
2669,Aarón Escandell,Granada,3.2,0,0.0,0,0
2670,Estanis,Barcelona,0.1,0,0.0,0,0
2671,Wladimiro Falcone,Sampdoria,9.5,0,0.0,0,0
2672,Paolo Faragò,Cagliari,0.2,0,0.0,0,0
2673,Omar Faraj,Levante,0.0,0,0.0,0,0
2674,Diego Farias,Cagliari,0.7,0,0.0,0,0
2675,Wuilker Faríñez,Lens,12.3,0,0.0,0,0
2676,Noah Fatar,Angers,0.1,0,0.0,0,0
2677,Andrea Favilli,Genoa,0.4,0,0.0,0,0
2678,Evan Ferguson,Brighton,0.3,0,0.0,0,0
2679,Nathan Ferguson,Crystal Palace,0.1,0,0.0,0,0
2680,Álvaro Fernández,Brentford,12.0,0,0.0,0,0
2681,Vincenzo Fiorillo,Salernitana,1.0,0,0.0,0,0
2682,Mamadou Fofana,Metz,0.4,0,0.0,0,0
2683,Thomas Fontaine,Lorient,1.9,0,0.0,0,0
2684,Steven Fortes,Lens,1.0,0,0.0,0,0
2685,Tariqe Fosu,Brentford,0.2,0,0.0,0,0
2686,Gianluca Frabotta,Hellas Verona,0.2,0,0.0,0,0
2687,Christian Früchtl,Bayern Munich,0.1,0,0.0,0,0
2688,Stephan Fürstner,Mainz 05,0.1,0,0.0,0,0
2689,Gianluca Gaetano,Napoli,0.2,0,0.0,0,0
2690,Luca Gagliano,Cagliari,0.1,0,0.0,0,0
2691,Joan García,Espanyol,1.2,0,0.0,0,0
2692,Saúl García,Alavés,0.0,0,0.0,0,0
2693,Alejandro Garnacho,Manchester Utd,0.1,0,0.0,0,0
2694,Djeidi Gassama,Paris S-G,0.0,0,0.0,0,0
2695,Jean-Philippe Gbamin,Everton,0.7,0,0.0,0,0
2696,Luca Gemello,Torino,1.0,0,0.0,0,0
2697,Ismaël Gharbi,Paris S-G,0.0,0,0.0,0,0
2698,Anwar El Ghazi,Everton,0.1,0,0.0,0,0
2699,Morgan Gibbs-White,Wolves,0.1,0,0.0,0,0
2700,Mario Gila,Real Madrid,0.3,0,0.0,0,0
2701,Daniel Ginczek,Wolfsburg,0.1,0,0.0,0,0
2702,Edoardo Goldaniga,Sassuolo,0.0,0,0.0,0,0
2703,Toti Gomes,Wolves,4.0,0,0.0,0,0
2704,Álvaro González,Marseille,5.0,0,0.0,0,0
2705,Kaide Gordon,Liverpool,0.1,0,0.0,0,0
2706,Jens Grahl,Eint Frankfurt,1.0,0,0.0,0,0
2707,Jaume Grau,Osasuna,0.0,0,0.0,0,0
2708,Dominik Greif,Mallorca,1.0,0,0.0,0,0
2709,Sebastian Griesbeck,Union Berlin,0.1,0,0.0,0,0
2710,Lennart Grill,Leverkusen,1.0,0,0.0,0,0
2711,Noah Guede-Nadje,Angers,0.0,0,0.0,0,0
2712,Yanis Guermouche,Montpellier,0.1,0,0.0,0,0
2713,Angus Gunn,Norwich City,9.0,0,0.0,0,0
2714,Marcos Mauro López Gutiérrez,Cádiz,1.5,0,0.0,0,0
2715,Luis Hartwig,Bochum,0.0,0,0.0,0,0
2716,Kortney Hause,Aston Villa,4.4,0,0.0,0,0
2717,Dominique Heintz,Freiburg,0.3,0,0.0,0,0
2718,Kike Hermoso,Betis,1.0,0,0.0,0,0
2719,Marwin Hitz,Dortmund,4.5,0,0.0,0,0
2720,Marcus Ingvartsen,Union Berlin,1.4,0,0.0,0,0
2721,Nikita Iosifov,Villarreal,0.0,0,0.0,0,0
2722,Tim Iroegbunam,Aston Villa,1.0,0,0.0,0,0
2723,Abdel Jalil Medioub,Bordeaux,6.9,0,0.0,0,0
2724,Miguel Juan Llambrich,Espanyol,0.8,0,0.0,0,0
2725,Gideon Jung,Greuther Fürth,1.6,0,0.0,0,0
2726,Anton Kade,Hertha BSC,0.9,0,0.0,0,0
2727,Arnaud Kalimuendo,Paris S-G,0.1,0,0.0,0,0
2728,Dimitrije Kamenović,Lazio,0.5,0,0.0,0,0
2729,Stefanos Kapino,Arminia,1.0,0,0.0,0,0
2730,Noah Katterbach,Köln,0.2,0,0.0,0,0
2731,Eiji Kawashima,Strasbourg,1.0,0,0.0,0,0
2732,Moise Kean,Everton,0.0,0,0.0,0,0
2733,Habib Keita,Lyon,0.1,0,0.0,0,0
2734,Caoimhín Kelleher,Liverpool,2.0,0,0.0,0,0
2735,Dimitrios Keramitsis,Roma,0.0,0,0.0,0,0
2736,Luca Kilian,Mainz 05,0.0,0,0.0,0,0
2737,Kristoffer Klaesson,Leeds United,0.4,0,0.0,0,0
2738,Samuel Koeberlé,Reims,0.0,0,0.0,0,0
2739,Aleksandr Kokorin,Fiorentina,0.6,0,0.0,0,0
2740,Sead Kolašinac,Arsenal,1.0,0,0.0,0,0
2741,Luca Koleosho,Espanyol,0.0,0,0.0,0,0
2742,Alex Král,West Ham,0.0,0,0.0,0,0
2743,Julian Kristoffersen,Salernitana,0.1,0,0.0,0,0
2744,Mykola Kukharevych,Troyes,0.2,0,0.0,0,0
2745,Sam Lammers,Atalanta,0.4,0,0.0,0,0
2746,Latasa,Real Madrid,0.1,0,0.0,0,0
2747,Théo Le Bris,Lorient,0.7,0,0.0,0,0
2748,Patrick Leal,Venezia,0.0,0,0.0,0,0
2749,Félix Lemaréchal,Monaco,0.1,0,0.0,0,0
2750,Bernd Leno,Arsenal,4.0,0,0.0,0,0
2751,Alexandre Letellier,Paris S-G,0.1,0,0.0,0,0
2752,Jürgen Locadia,Brighton,0.3,0,0.0,0,0
2753,Jonas Lössl,Brentford,2.0,0,0.0,0,0
2754,Johaneko Louisjean,Bordeaux,0.1,0,0.0,0,0
2755,Andriy Lunin,Real Madrid,2.0,0,0.0,0,0
2756,Andrey Lunyov,Leverkusen,1.0,0,0.0,0,0
2757,Yannis M'Bemba,Nantes,0.1,0,0.0,0,0
2758,Matej Maglica,Stuttgart,0.1,0,0.0,0,0
2759,Giangiacomo Magnani,Hellas Verona,5.9,0,0.0,0,0
2760,Giangiacomo Magnani,Sampdoria,2.7,0,0.0,0,0
2761,Anthony Mandrea,Angers,10.0,0,0.0,0,0
2762,Marcelo,Lyon,2.0,0,0.0,0,0
2763,Davide Marfella,Napoli,0.1,0,0.0,0,0
2764,Mika Màrmol,Barcelona,0.0,0,0.0,0,0
2765,Carlos Martín,Atlético Madrid,0.1,0,0.0,0,0
2766,Josep Martinez,RB Leipzig,1.0,0,0.0,0,0
2767,Chrislain Matsima,Monaco,1.5,0,0.0,0,0
2768,Derek Mazou-Sacko,Troyes,0.0,0,0.0,0,0
2769,Ibrahima Mbaye,Bologna,1.2,0,0.0,0,0
2770,Jason Mbock,Angers,0.2,0,0.0,0,0
2771,Moustapha Mbow,Reims,1.0,0,0.0,0,0
2772,James Mcatee,Manchester City,0.2,0,0.0,0,0
2773,Kasey McAteer,Leicester City,0.0,0,0.0,0,0
2774,Liam McCarron,Leeds United,0.1,0,0.0,0,0
2775,Stuart McKinstry,Leeds United,0.0,0,0.0,0,0
2776,Hannibal Mejbri,Manchester Utd,0.8,0,0.0,0,0
2777,Farid El Melali,Angers,0.2,0,0.0,0,0
2778,Tomás Mendes,Alavés,0.1,0,0.0,0,0
2779,Alex Meret,Napoli,6.9,0,0.0,0,0
2780,Yıldırım Mert Çetin,Hellas Verona,0.5,0,0.0,0,0
2781,Hilmir Mikaelsson,Venezia,0.2,0,0.0,0,0
2782,Wesley Moraes,Aston Villa,0.0,0,0.0,0,0
2783,Jon Morcillo,Athletic Club,0.6,0,0.0,0,0
2784,Ilaix Moriba,RB Leipzig,0.4,0,0.0,0,0
2785,Loren Morón,Betis,0.0,0,0.0,0,0
2786,Cristhian Mosquera,Valencia,2.4,0,0.0,0,0
2787,Lebo Mothiba,Strasbourg,0.0,0,0.0,0,0
2788,Andrei Motoc,Salernitana,1.0,0,0.0,0,0
2789,Jessy Moulin,Troyes,7.0,0,0.0,0,0
2790,Samuel Mráz,Spezia,0.6,0,0.0,0,0
2791,Bali Mumba,Norwich City,0.5,0,0.0,0,0
2792,Torben Müsel,M'Gladbach,0.1,0,0.0,0,0
2793,Shkodran Mustafi,Levante,7.3,0,0.0,0,0
2794,Junior Mwanga,Bordeaux,1.0,0,0.0,0,0
2795,David Nemeth,Mainz 05,3.5,0,0.0,0,0
2796,Peru Nolaskoain,Athletic Club,0.0,0,0.0,0,0
2797,Adam Obert,Cagliari,3.0,0,0.0,0,0
2798,Oier Olazábal,Espanyol,1.5,0,0.0,0,0
2799,Christian Oliva,Cagliari,0.5,0,0.0,0,0
2800,Andrew Omobamidele,Norwich City,4.2,0,0.0,0,0
2801,Tyler Onyango,Everton,0.3,0,0.0,0,0
2802,Jesús Owono,Alavés,1.0,0,0.0,0,0
2803,Jon Pacheco,Real Sociedad,4.2,0,0.0,0,0
2804,Daniele Padelli,Udinese,3.0,0,0.0,0,0
2805,Emerson Palmieri,Chelsea,0.1,0,0.0,0,0
2806,Martin Palumbo,Juventus,0.1,0,0.0,0,0
2807,Ivor Pandur,Hellas Verona,3.0,0,0.0,0,0
2808,Antonios Papadopoulos,Dortmund,0.2,0,0.0,0,0
2809,Rubén Pardo,Bordeaux,0.1,0,0.0,0,0
2810,Kevin Paredes,Wolfsburg,0.2,0,0.0,0,0
2811,Strahinja Pavlović,Monaco,5.0,0,0.0,0,0
2812,Gianluca Pegolo,Sassuolo,1.0,0,0.0,0,0
2813,Federico Peluso,Sassuolo,0.1,0,0.0,0,0
2814,Philipp Pentke,Hoffenheim,1.0,0,0.0,0,0
2815,Victor Perea,Espanyol,0.0,0,0.0,0,0
2816,Juan Pérez,Osasuna,2.0,0,0.0,0,0
